timestamp,config_id,hidden,output_replicas,epoch,seconds,free_relaxation,nudged_relaxation,sweeps,free_sweeps,nudged_sweeps,minit,digits,target_scale,target_off,target_on,input_low,input_high,skip_scale,pixel_copy_scale,beta,lr,train_accuracy,train_mse,validation_accuracy,validation_mse,initial_graph_path,best_epoch,best_validation_mse,best_graph_path,final_graph_path
2026-05-20T02:19:44,1,120,4,0,0.0,32000,8000,50.0,200.0,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.2,0.001,0.140625,18.7363,0.0625,18.723866,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n50_beta02\checkpoints\config_1\initial_graph.jld2,0,18.723865509033203,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n50_beta02\checkpoints\config_1\best_graph.jld2,
2026-05-20T02:19:53,1,120,4,1,4.2289956,32000,8000,50.0,200.0,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.2,0.001,0.15625,14.793072,0.1796875,14.811518,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n50_beta02\checkpoints\config_1\initial_graph.jld2,1,14.811517715454102,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n50_beta02\checkpoints\config_1\best_graph.jld2,
2026-05-20T02:20:01,1,120,4,2,2.2536129,32000,8000,50.0,200.0,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.2,0.001,0.2890625,14.465737,0.3046875,14.017656,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n50_beta02\checkpoints\config_1\initial_graph.jld2,2,14.017656326293945,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n50_beta02\checkpoints\config_1\best_graph.jld2,
2026-05-20T02:20:08,1,120,4,3,2.2356942,32000,8000,50.0,200.0,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.2,0.001,0.1796875,14.667738,0.1484375,14.267033,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n50_beta02\checkpoints\config_1\initial_graph.jld2,2,14.017656326293945,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n50_beta02\checkpoints\config_1\best_graph.jld2,
