mode,post_max_sweeps,noise_factor,noise_scale,draws,accuracy,equilibrated_fraction,mean_reward,mean_seconds,mean_sweeps,mean_energy_delta,mean_distance_from_base,mean_distance_from_previous,unique_signatures,unique_fraction
base,25.0,0.5,0.01581139,200,0.015,0.0,-2.7042460536956785,0.007002999999999996,25.0,-0.06633319139480591,0.009,0.009,66,0.33
base,25.0,1.0,0.03162278,200,0.005,0.0,-2.7078484010696413,0.0009988349999999996,25.0,-0.06360054969787597,0.008624999999999996,0.008624999999999996,66,0.33
base,25.0,2.0,0.06324556,200,0.02,0.0,-2.70241735458374,0.0009858949999999997,25.0,-0.064393572807312,0.008875000000000001,0.008875000000000001,70,0.35
base,25.0,4.0,0.12649111,200,0.005,0.0,-2.697690700292587,0.0009892399999999997,25.0,-0.060697877407073976,0.010968749999999992,0.010968749999999992,94,0.47
base,50.0,0.5,0.01581139,200,0.015,0.0,-2.695948114395142,0.0019539649999999998,50.0,-0.11423930644989014,0.013750000000000023,0.013750000000000023,95,0.475
base,50.0,1.0,0.03162278,200,0.01,0.0,-2.698264095783234,0.0019508,50.0,-0.11439748048782349,0.013781250000000014,0.013781250000000014,91,0.455
base,50.0,2.0,0.06324556,200,0.01,0.0,-2.6962626218795775,0.0019523399999999986,50.0,-0.11855054616928101,0.013968750000000016,0.013968750000000016,87,0.435
base,50.0,4.0,0.12649111,200,0.015,0.0,-2.699506961107254,0.0019458099999999992,50.0,-0.1127249526977539,0.014531250000000013,0.014531250000000013,108,0.54
base,100.0,0.5,0.01581139,200,0.015,0.0,-2.693215516805649,0.004125050000000001,100.0,-0.16493186712265015,0.022562500000000006,0.022562500000000006,130,0.65
base,100.0,1.0,0.03162278,200,0.01,0.0,-2.6936070305109023,0.003866834999999999,100.0,-0.16671753644943238,0.02234375000000001,0.02234375000000001,127,0.635
base,100.0,2.0,0.06324556,200,0.02,0.0,-2.6946882998943327,0.0038957849999999993,100.0,-0.1700169825553894,0.02262500000000002,0.02262500000000002,118,0.59
base,100.0,4.0,0.12649111,200,0.005,0.0,-2.6971374386548996,0.003913615000000001,100.0,-0.16727641344070435,0.022750000000000006,0.022750000000000006,136,0.68
chain,25.0,0.5,0.01581139,200,0.0,0.0,-2.705103622674942,0.0009942599999999998,25.0,-0.2761866021156311,0.049499999999999995,0.005812499999999998,98,0.49
chain,25.0,1.0,0.03162278,200,0.0,0.0,-2.6726101368665693,0.0009888449999999997,25.0,-0.39129903316497805,0.08756249999999995,0.00578125,59,0.295
chain,25.0,2.0,0.06324556,200,0.0,0.0,-2.6822028017044066,0.0009927349999999996,25.0,-0.4424849534034729,0.10712499999999997,0.006999999999999999,50,0.25
chain,25.0,4.0,0.12649111,200,0.0,0.0,-2.6782599794864654,0.0009855249999999992,25.0,-0.4699796915054321,0.11953124999999991,0.007812500000000002,52,0.26
chain,50.0,0.5,0.01581139,200,0.0,0.0,-2.6758863377571105,0.0019574299999999983,50.0,-0.5021614551544189,0.1308749999999997,0.007999999999999998,39,0.195
chain,50.0,1.0,0.03162278,200,0.0,0.0,-2.6794135200977327,0.0019612750000000006,50.0,-0.5086615085601807,0.13518750000000015,0.008343750000000007,36,0.18
chain,50.0,2.0,0.06324556,200,0.0,0.0,-2.6836171698570253,0.0019593949999999996,50.0,-0.5132996320724488,0.1367500000000002,0.008062500000000004,30,0.15
chain,50.0,4.0,0.12649111,200,0.0,0.0,-2.682792941331863,0.001962850000000001,50.0,-0.511957335472107,0.13800000000000012,0.007875,27,0.135
chain,100.0,0.5,0.01581139,200,0.0,0.0,-2.6806614881753923,0.0038922799999999993,100.0,-0.5124924302101135,0.1373125,0.008343750000000004,33,0.165
chain,100.0,1.0,0.03162278,200,0.0,0.0,-2.6788129979372024,0.003915319999999997,100.0,-0.5135649847984314,0.13884374999999996,0.00746875,21,0.105
chain,100.0,2.0,0.06324556,200,0.0,0.0,-2.6773391699790956,0.003943354999999998,100.0,-0.515487813949585,0.13743750000000005,0.007875000000000004,26,0.13
chain,100.0,4.0,0.12649111,200,0.0,0.0,-2.6723457098007204,0.00396874,100.0,-0.5174530529975891,0.13865625000000004,0.008312500000000002,29,0.145
