timestamp,hidden,contexts,threads,sweeps,nsteps,graph_states,graph_edges,single_seconds,parallel_seconds,min_task_seconds,mean_task_seconds,max_task_seconds,speedup_vs_serial_all
2026-05-21T18:21:44,120,16,32,1000.0,160000,944,197760,0.0024852,0.0212705,0.0027048,0.00358740625,0.0048546,1.8694059848146491
2026-05-21T18:21:45,120,32,32,1000.0,160000,944,197760,0.0025112,0.0098553,0.0054421,0.007452159374999999,0.0096075,8.15382586019705
2026-05-21T18:21:47,784,16,32,1000.0,824000,1608,1292032,0.0169627,0.0386451,0.0207606,0.030269668749999996,0.0385917,7.022965395354133
2026-05-21T18:21:49,784,32,32,1000.0,824000,1608,1292032,0.0170359,0.057167,0.0470876,0.0542535375,0.0569548,9.53607500830899
