accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,std_1,std_2,std_3,std_4
0.5,0,0.0,0.0909107786698154,0.14644497453181837,0.0909107786698154,0.3440329282720031,0.5099743831761145,1.2127736822518682,0.7423760025919247,0.8680919866544969,0.736124416000464,0.6329242144482599
0.5,1,0.32535028448362924,0.1128800923177214,0.1579958158405148,0.1128800923177214,0.22313934361810467,0.523907717900657,1.2634358130554129,0.7145001506524693,0.8247646185439377,0.7910221695658233,0.6502780940442184
0.5,250,0.25310385485584336,0.11573260216965758,0.20102382103531918,0.11573260216965758,0.2853257398653569,0.4363227002156126,1.1995423117033979,0.7448003478207212,0.8007563958060074,0.7664914796614879,0.5899449049212895
0.5,500,0.21700662400857812,0.14298413555017966,0.17596965478823975,0.14298413555017966,0.2527039829174845,0.5471631608382928,1.2673865010759933,0.7454345118918482,0.8182178485561453,0.8128360367260375,0.6193492639485978
0.5,750,0.17212460882737957,0.1632582946954532,0.2488897258358431,0.1632582946954532,0.33392284155999796,0.4624056874995407,1.2105378511302,0.7111509809742089,0.7917595407141923,0.7682562459941579,0.6665020836433705
0.5,1000,0.25922604126647397,0.06264873296591941,0.06264873296591941,0.09488337004633102,0.1915310274611623,0.5218682467387162,1.2295408708705846,0.7852867436075613,0.8315184896302633,0.7909791341043777,0.567845429025495
0.5,1250,0.2236339995688823,0.08448239030225921,0.1256145019690041,0.08448239030225921,0.292266191913375,0.47151710904772237,1.1928575615096388,0.8527752809576857,0.8053682780364735,0.7728050761194003,0.5813021559290982
0.5,1500,0.21912746916031978,0.15637749640975365,0.15637749640975365,0.18007766519436627,0.20615618490997784,0.5369537973618472,1.250474131824424,0.7422808320966676,0.8057480585157346,0.7702053767854652,0.6058864802630796
0.5,1750,0.22301972099610343,0.11276243675260583,0.33891398229122754,0.11276243675260583,0.24149734187132643,0.42166111811683077,1.294081940691397,0.7251446689693193,0.8702572631704873,0.8023343518358449,0.7277552229426872
0.5,2000,0.20626699381195,0.10453448172854066,0.10453448172854066,0.12582513834759815,0.2933928075442762,0.5999144396954346,1.2607995122121123,0.8129421163221099,0.8163852968329087,0.761334936371762,0.6027085585958791
