START r1_8_r2_1_lr0012_s75 2026-05-27T01:58:59
(timestamp = "2026-05-27T03:38:36", epoch = 11, seconds = 378.4803482, train_accuracy = 0.1, train_loss = 8.0f0, skipped = 0, test_accuracy = 0.1, test_loss = 14.08f0, pred_counts = "200-0-0-0-0-0-0-0-0-0", best_accuracy = 0.125, best_path = "C:\\Users\\fenje\\dev\\InteractiveIsing.jl\\ext\\IsingLearning\\experiments\\MNIST\\two-hidden-local-28x28-to-14x14-readout\\diagnostics\\runs\\grid_r1_r2_lr_sweeps_20260527_015859\\r1_8_r2_1_lr0012_s75\\r1_8_r2_1\\best_params.bin", final_path = "")
(timestamp = "2026-05-27T03:47:41", epoch = 12, seconds = 423.6172598, train_accuracy = 0.1, train_loss = 8.0f0, skipped = 0, test_accuracy = 0.1, test_loss = 13.44f0, pred_counts = "200-0-0-0-0-0-0-0-0-0", best_accuracy = 0.125, best_path = "C:\\Users\\fenje\\dev\\InteractiveIsing.jl\\ext\\IsingLearning\\experiments\\MNIST\\two-hidden-local-28x28-to-14x14-readout\\diagnostics\\runs\\grid_r1_r2_lr_sweeps_20260527_015859\\r1_8_r2_1_lr0012_s75\\r1_8_r2_1\\best_params.bin", final_path = "")
(timestamp = "2026-05-27T03:56:23", epoch = 13, seconds = 396.2242549, train_accuracy = 0.1, train_loss = 8.0f0, skipped = 0, test_accuracy = 0.1, test_loss = 14.72f0, pred_counts = "200-0-0-0-0-0-0-0-0-0", best_accuracy = 0.125, best_path = "C:\\Users\\fenje\\dev\\InteractiveIsing.jl\\ext\\IsingLearning\\experiments\\MNIST\\two-hidden-local-28x28-to-14x14-readout\\diagnostics\\runs\\grid_r1_r2_lr_sweeps_20260527_015859\\r1_8_r2_1_lr0012_s75\\r1_8_r2_1\\best_params.bin", final_path = "")
(timestamp = "2026-05-27T04:05:47", epoch = 14, seconds = 413.9734662, train_accuracy = 0.1, train_loss = 8.0f0, skipped = 0, test_accuracy = 0.1, test_loss = 16.0f0, pred_counts = "200-0-0-0-0-0-0-0-0-0", best_accuracy = 0.125, best_path = "C:\\Users\\fenje\\dev\\InteractiveIsing.jl\\ext\\IsingLearning\\experiments\\MNIST\\two-hidden-local-28x28-to-14x14-readout\\diagnostics\\runs\\grid_r1_r2_lr_sweeps_20260527_015859\\r1_8_r2_1_lr0012_s75\\r1_8_r2_1\\best_params.bin", final_path = "")
(timestamp = "2026-05-27T04:14:12", epoch = 15, seconds = 354.873372, train_accuracy = 0.1, train_loss = 8.0f0, skipped = 0, test_accuracy = 0.1, test_loss = 15.36f0, pred_counts = "200-0-0-0-0-0-0-0-0-0", best_accuracy = 0.125, best_path = "C:\\Users\\fenje\\dev\\InteractiveIsing.jl\\ext\\IsingLearning\\experiments\\MNIST\\two-hidden-local-28x28-to-14x14-readout\\diagnostics\\runs\\grid_r1_r2_lr_sweeps_20260527_015859\\r1_8_r2_1_lr0012_s75\\r1_8_r2_1\\best_params.bin", final_path = "")
(timestamp = "2026-05-27T04:23:15", epoch = 16, seconds = 402.2278273, train_accuracy = 0.1, train_loss = 8.0f0, skipped = 0, test_accuracy = 0.1, test_loss = 15.04f0, pred_counts = "200-0-0-0-0-0-0-0-0-0", best_accuracy = 0.125, best_path = "C:\\Users\\fenje\\dev\\InteractiveIsing.jl\\ext\\IsingLearning\\experiments\\MNIST\\two-hidden-local-28x28-to-14x14-readout\\diagnostics\\runs\\grid_r1_r2_lr_sweeps_20260527_015859\\r1_8_r2_1_lr0012_s75\\r1_8_r2_1\\best_params.bin", final_path = "")
(timestamp = "2026-05-27T04:31:50", epoch = 17, seconds = 376.1638852, train_accuracy = 0.1, train_loss = 8.0f0, skipped = 0, test_accuracy = 0.1, test_loss = 14.4f0, pred_counts = "200-0-0-0-0-0-0-0-0-0", best_accuracy = 0.125, best_path = "C:\\Users\\fenje\\dev\\InteractiveIsing.jl\\ext\\IsingLearning\\experiments\\MNIST\\two-hidden-local-28x28-to-14x14-readout\\diagnostics\\runs\\grid_r1_r2_lr_sweeps_20260527_015859\\r1_8_r2_1_lr0012_s75\\r1_8_r2_1\\best_params.bin", final_path = "")
(timestamp = "2026-05-27T04:40:39", epoch = 18, seconds = 422.8450234, train_accuracy = 0.1, train_loss = 8.0f0, skipped = 0, test_accuracy = 0.1, test_loss = 17.92f0, pred_counts = "200-0-0-0-0-0-0-0-0-0", best_accuracy = 0.125, best_path = "C:\\Users\\fenje\\dev\\InteractiveIsing.jl\\ext\\IsingLearning\\experiments\\MNIST\\two-hidden-local-28x28-to-14x14-readout\\diagnostics\\runs\\grid_r1_r2_lr_sweeps_20260527_015859\\r1_8_r2_1_lr0012_s75\\r1_8_r2_1\\best_params.bin", final_path = "")
(timestamp = "2026-05-27T04:49:34", epoch = 19, seconds = 432.7426033, train_accuracy = 0.1, train_loss = 8.0f0, skipped = 0, test_accuracy = 0.1, test_loss = 15.36f0, pred_counts = "200-0-0-0-0-0-0-0-0-0", best_accuracy = 0.125, best_path = "C:\\Users\\fenje\\dev\\InteractiveIsing.jl\\ext\\IsingLearning\\experiments\\MNIST\\two-hidden-local-28x28-to-14x14-readout\\diagnostics\\runs\\grid_r1_r2_lr_sweeps_20260527_015859\\r1_8_r2_1_lr0012_s75\\r1_8_r2_1\\best_params.bin", final_path = "")
(timestamp = "2026-05-27T04:58:24", epoch = 20, seconds = 440.3045001, train_accuracy = 0.1, train_loss = 8.0f0, skipped = 0, test_accuracy = 0.1, test_loss = 16.0f0, pred_counts = "200-0-0-0-0-0-0-0-0-0", best_accuracy = 0.125, best_path = "C:\\Users\\fenje\\dev\\InteractiveIsing.jl\\ext\\IsingLearning\\experiments\\MNIST\\two-hidden-local-28x28-to-14x14-readout\\diagnostics\\runs\\grid_r1_r2_lr_sweeps_20260527_015859\\r1_8_r2_1_lr0012_s75\\r1_8_r2_1\\best_params.bin", final_path = "")
(timestamp = "2026-05-27T05:07:54", epoch = 21, seconds = 445.3390658, train_accuracy = 0.1, train_loss = 8.0f0, skipped = 0, test_accuracy = 0.1, test_loss = 16.32f0, pred_counts = "200-0-0-0-0-0-0-0-0-0", best_accuracy = 0.125, best_path = "C:\\Users\\fenje\\dev\\InteractiveIsing.jl\\ext\\IsingLearning\\experiments\\MNIST\\two-hidden-local-28x28-to-14x14-readout\\diagnostics\\runs\\grid_r1_r2_lr_sweeps_20260527_015859\\r1_8_r2_1_lr0012_s75\\r1_8_r2_1\\best_params.bin", final_path = "")
(timestamp = "2026-05-27T05:16:37", epoch = 22, seconds = 403.4972399, train_accuracy = 0.1, train_loss = 8.0f0, skipped = 0, test_accuracy = 0.1, test_loss = 14.72f0, pred_counts = "200-0-0-0-0-0-0-0-0-0", best_accuracy = 0.125, best_path = "C:\\Users\\fenje\\dev\\InteractiveIsing.jl\\ext\\IsingLearning\\experiments\\MNIST\\two-hidden-local-28x28-to-14x14-readout\\diagnostics\\runs\\grid_r1_r2_lr_sweeps_20260527_015859\\r1_8_r2_1_lr0012_s75\\r1_8_r2_1\\best_params.bin", final_path = "")
(timestamp = "2026-05-27T05:26:00", epoch = 23, seconds = 429.1745301, train_accuracy = 0.1, train_loss = 8.0f0, skipped = 0, test_accuracy = 0.1, test_loss = 15.68f0, pred_counts = "200-0-0-0-0-0-0-0-0-0", best_accuracy = 0.125, best_path = "C:\\Users\\fenje\\dev\\InteractiveIsing.jl\\ext\\IsingLearning\\experiments\\MNIST\\two-hidden-local-28x28-to-14x14-readout\\diagnostics\\runs\\grid_r1_r2_lr_sweeps_20260527_015859\\r1_8_r2_1_lr0012_s75\\r1_8_r2_1\\best_params.bin", final_path = "")
