timestamp,config_id,hidden,output_replicas,epoch,seconds,free_relaxation,nudged_relaxation,sweeps,free_sweeps,nudged_sweeps,minit,digits,target_scale,target_off,target_on,input_low,input_high,skip_scale,pixel_copy_scale,beta,lr,train_accuracy,train_mse,validation_accuracy,validation_mse,initial_graph_path,best_epoch,best_validation_mse,best_graph_path,final_graph_path
2026-05-20T02:22:09,1,120,4,0,0.0,32000,16000,50.0,200.0,100.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.001,0.109375,18.39703,0.140625,18.65858,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n100_beta01_10epoch\checkpoints\config_1\initial_graph.jld2,0,18.658580780029297,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n100_beta01_10epoch\checkpoints\config_1\best_graph.jld2,
2026-05-20T02:22:20,1,120,4,1,4.5480589,32000,16000,50.0,200.0,100.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.001,0.21875,17.016611,0.328125,16.957228,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n100_beta01_10epoch\checkpoints\config_1\initial_graph.jld2,1,16.95722770690918,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n100_beta01_10epoch\checkpoints\config_1\best_graph.jld2,
2026-05-20T02:22:27,1,120,4,2,2.6406756,32000,16000,50.0,200.0,100.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.001,0.203125,16.212864,0.21875,16.146542,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n100_beta01_10epoch\checkpoints\config_1\initial_graph.jld2,2,16.146541595458984,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n100_beta01_10epoch\checkpoints\config_1\best_graph.jld2,
2026-05-20T02:22:35,1,120,4,3,2.6342181,32000,16000,50.0,200.0,100.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.001,0.1953125,17.191437,0.125,17.30646,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n100_beta01_10epoch\checkpoints\config_1\initial_graph.jld2,2,16.146541595458984,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n100_beta01_10epoch\checkpoints\config_1\best_graph.jld2,
2026-05-20T02:22:42,1,120,4,4,2.622525,32000,16000,50.0,200.0,100.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.001,0.1484375,16.43602,0.2265625,16.154863,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n100_beta01_10epoch\checkpoints\config_1\initial_graph.jld2,2,16.146541595458984,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n100_beta01_10epoch\checkpoints\config_1\best_graph.jld2,
2026-05-20T02:22:50,1,120,4,5,2.6193694,32000,16000,50.0,200.0,100.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.001,0.1640625,16.454798,0.15625,16.84683,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n100_beta01_10epoch\checkpoints\config_1\initial_graph.jld2,2,16.146541595458984,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n100_beta01_10epoch\checkpoints\config_1\best_graph.jld2,
2026-05-20T02:22:58,1,120,4,6,2.7426089,32000,16000,50.0,200.0,100.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.001,0.203125,16.017132,0.1484375,15.665911,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n100_beta01_10epoch\checkpoints\config_1\initial_graph.jld2,6,15.665910720825195,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n100_beta01_10epoch\checkpoints\config_1\best_graph.jld2,
2026-05-20T02:23:05,1,120,4,7,2.6144056,32000,16000,50.0,200.0,100.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.001,0.1796875,15.697911,0.1953125,16.084112,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n100_beta01_10epoch\checkpoints\config_1\initial_graph.jld2,6,15.665910720825195,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n100_beta01_10epoch\checkpoints\config_1\best_graph.jld2,
2026-05-20T02:23:13,1,120,4,8,2.6160403,32000,16000,50.0,200.0,100.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.001,0.21875,15.080553,0.1796875,15.196659,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n100_beta01_10epoch\checkpoints\config_1\initial_graph.jld2,8,15.196659088134766,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n100_beta01_10epoch\checkpoints\config_1\best_graph.jld2,
2026-05-20T02:23:21,1,120,4,9,2.6146158,32000,16000,50.0,200.0,100.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.001,0.3203125,14.377047,0.296875,14.170598,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n100_beta01_10epoch\checkpoints\config_1\initial_graph.jld2,9,14.170598030090332,ext/IsingLearning/experiments/mnist_manager/runs/20260520_train_relax_f200_n100_beta01_10epoch\checkpoints\config_1\best_graph.jld2,
