accuracy,epoch,grad_norm,mse
0.5,0,0.0,1.9915157676111528
0.5,1,0.1416641972619331,1.9901336726476608
0.5,300,0.023120415751831838,1.908203323703466
0.5,600,0.017966932391280964,1.5162793741302314
0.515625,900,0.01659735506489016,1.029299647829548
0.5,1200,0.018692311373534734,1.0736380621309873
0.5,1500,0.019206280715185126,1.9882481335378919
0.5,1800,0.017169607978731176,1.9894157510712638
0.5,2100,0.01935657494679933,1.989146470608735
0.5,2400,0.019672868595440072,1.5772710181087397
0.4921875,2700,0.017674613068712746,1.9903453177824442
0.5,3000,0.02288330075459055,1.510011270937827
