accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,std_1,std_2,std_3,std_4,temperature
0.5,0,0.0,0.0004120287152911406,-0.16570315427867685,0.0004120287152911406,-0.32997058357387976,0.16800726362699214,1.2070725150437223,1.019555687857428,1.0358269478483844,0.975639517029924,1.0154139323352622,0.06709364034468308
0.25,1,0.5590268444537995,0.0016528378783618458,-0.16172207854950893,-0.0016528378783618458,-0.49611545135997076,0.1672115213566087,1.3266906151516975,1.0180864503797138,1.029512560109574,0.8947241998973383,1.0164013375291676,0.06709364034468308
0.5,600,0.5143290224657111,0.16462963718449375,-0.1651293009831673,0.1664536985787953,-0.4950457242427632,0.16462963718449375,1.2458331075187197,1.0184928413066554,1.0213077951319622,0.8996247826074398,1.0144896710584508,0.06709364034468308
0.25,1200,0.380714877704252,0.16392375455936697,-0.16392375455936697,-0.3293092661590218,-0.49497688695593384,0.1670403256680076,1.5157564068885216,1.019372982980509,0.9777741896312385,0.8947063185977221,1.0172665738385729,0.06709364034468308
0.5,1800,0.44279286433049814,0.16308534258239096,-0.1639821864875749,0.16679273666804137,-0.3273917470414829,0.16308534258239096,1.1269741231057666,1.0217056385364314,1.021198023178201,0.9757943188483256,1.0220330818042613,0.06709364034468308
0.25,2400,0.3189268430954077,0.0028906712796811598,-0.1676525553997805,-0.0028906712796811598,-0.49512134909126587,0.16652440307288371,1.3236897496363398,1.0207660452243263,1.0367448778854658,0.8926860292242906,1.0219121206662924,0.06709364034468308
0.5,3000,0.3900803986566657,0.001005048684528535,-0.1654185757117229,0.001005048684528535,-0.4920061928567731,0.16690458948687636,1.3205664667523371,1.0207841264936302,1.035833397203532,0.8967752660801104,1.0219388787251364,0.06709364034468308
0.5,3600,0.38424839342438677,0.003064462641142555,-0.16577821490521513,0.003064462641142555,-0.4957954080412517,0.16243590270451022,1.3196168957473668,1.0181559849994926,1.0329477897887862,0.8907096206283298,1.0183400015263975,0.06709364034468308
0.5,4200,0.360012883531664,0.0001280697379290041,-0.16345569059379522,0.0001280697379290041,-0.49596122667542913,0.1675356147879983,1.3251474155101368,1.0165675839937134,1.0324512109598947,0.8978095510703231,1.0178457845917404,0.06709364034468308
0.5,4800,0.2361151008115908,0.16401560915684474,-0.16401560915684474,0.16592491599328282,-0.32916935274771064,0.16659246662422486,1.1305450747405938,1.019628358718176,1.0184942740724394,0.9781982880623021,1.0224309422491185,0.06709364034468308
0.5,5400,0.27846110707316346,0.0030244449798420745,-0.16695837393080457,0.0030244449798420745,-0.49346451060280977,0.16520714635356468,1.3190156366038173,1.0179418147269266,1.0342910849450453,0.895347997434986,1.0210903033730778,0.06709364034468308
0.25,6000,0.3414108266462131,0.0011153816584836922,-0.16554083310900977,-0.0011153816584836922,-0.4912039604305656,0.16267574025116818,1.3185145592935057,1.0185097059075527,1.0353610703206662,0.8959498271292031,1.0209518092173377,0.06709364034468308
