mode,post_max_sweeps,noise_factor,noise_scale,draws,accuracy,equilibrated_fraction,mean_reward,mean_seconds,mean_sweeps,mean_energy_delta,mean_distance_from_base,mean_distance_from_previous,unique_signatures,unique_fraction
base,2.0,1.0,0.03162278,20,0.0,0.0,-2.3945695400238036,9.120000000000002e-5,3.0,-0.3462278634309769,0.0296875,0.0296875,20,1.0
chain,2.0,1.0,0.03162278,20,0.05,0.0,-2.404877483844757,8.74e-5,3.0,-0.8044653177261353,0.056874999999999995,0.03812499999999999,20,1.0
