accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,std_1,std_2,std_3,std_4,temperature
0.25,0,0.0,0.08730378301386854,0.08730378301386854,-0.1953696736490353,-0.16395205469301372,-0.14997327363050797,1.1721169986006488,0.6794072081418746,0.6276551529117839,0.590966111151258,0.6780763583702071,0.08160000228881836
0.5,1,2.6828327019045557,0.06935811079814831,0.187804722469744,0.16488845405996871,-0.06935811079814831,-0.1652342348996651,0.9871630011492767,0.49941562859884747,0.6965929626391169,0.6866903582784654,0.6316495879646269,0.08160000228881836
0.75,500,2.431695790142466,0.17407047675224216,0.25377073564404373,0.19710220833408904,0.17407047675224216,-0.4402443567122001,0.8030179697460527,0.6202114970004015,0.5812881345039498,0.5516940042844416,0.4484885391402566,0.08160000228881836
0.0,1000,2.887852934029901,0.03180625607742629,0.15797487203361632,-0.23053508258313726,-0.35273187865278405,0.03180625607742629,1.4374075198332912,0.7100410206718851,0.6093069666646086,0.5199812248108696,0.6431556894789249,0.08160000228881836
0.75,1500,3.1218266595922946,0.23435810466457818,-0.23435810466457818,-0.2532038731326133,0.3735418266725461,-0.40727774588983473,0.7251242432434015,0.5795977858482326,0.6427543967597223,0.523668869693382,0.4511433906666675,0.08160000228881836
0.5,2000,2.6909248216263024,0.008772980849356377,-0.04632508811897694,-0.0768679738044595,-0.008772980849356377,-0.22901907905838584,0.9202937444761687,0.6359076466016532,0.6707420396157486,0.7440367902146213,0.535483093326025,0.08160000228881836
0.25,2500,2.7645753037806635,0.05263488503706798,0.05263488503706798,-0.20915655206765382,-0.19950751377977477,-0.34055104524008245,1.1109477420383056,0.6751134925824076,0.6441862560224632,0.6053759948431882,0.5612891212494006,0.08160000228881836
1.0,3000,2.731604910244333,0.0032789061656376545,-0.027746383332876767,0.0032789061656376545,0.00824504656506203,-0.23057227414094628,0.87858173675001,0.6368263496071045,0.7411490383031748,0.7139368028388726,0.6364659842356033,0.08160000228881836
0.25,3500,2.62087756212934,0.07668021603857278,0.21076821904642004,-0.07668021603857278,-0.1105437265358199,-0.25075207926328175,1.1049699457845172,0.6404870982271544,0.6607715568604615,0.6204552736535149,0.6381614009685279,0.08160000228881836
0.25,4000,3.0332423134400615,0.1516244123766529,0.1516244123766529,-0.22644227026003394,0.5228898646387586,0.22334532743907942,1.138651825223477,0.680428034475875,0.6159438365490129,0.47041546885765884,0.6472912897405365,0.08160000228881836
0.25,4500,2.7506669420344547,0.07402335273343433,0.32335387747734967,-0.19956467994632612,0.17947926249594043,0.07402335273343433,1.2542503373250102,0.6040551052375632,0.561191510664128,0.6281258469489893,0.5328111924546124,0.08160000228881836
0.5,5000,2.5545186551425028,0.08236206653097596,0.355486122918799,-0.1560389649585201,0.3306216083404475,-0.08236206653097596,1.1159738815224587,0.5632336315085921,0.7155276229519049,0.6049278674859829,0.64792015919203,0.08160000228881836
0.75,5500,2.5657925440930978,0.04992813774329742,-0.05893390845230933,-0.04992813774329742,0.17514415852529513,-0.2429661852232652,0.8103604597540786,0.6711508372686843,0.6799595748848752,0.6966772453479941,0.6141314404628667,0.08160000228881836
0.25,6000,2.746978529518702,0.055424026291979775,-0.13774786418361173,-0.2608806898393825,-0.22166368333082484,0.055424026291979775,1.234920222543393,0.5976116382697406,0.48686903501637685,0.6284846975125762,0.6450292987959712,0.08160000228881836
0.75,6500,2.6027512027304582,0.00422437652524181,0.12199652409912555,0.00422437652524181,0.21301249888798054,-0.14608959211883377,0.8997394009978459,0.6049449574647775,0.7321147964249896,0.5846815569450446,0.6834611652858823,0.08160000228881836
0.5,7000,2.4231325146641405,0.012574830045124316,0.09371218799454412,-0.01342067626313602,0.012574830045124316,-0.061842376682875164,1.0195940024234742,0.6578806206186909,0.596041107415011,0.7017355974452417,0.6484169145467779,0.08160000228881836
0.5,7500,3.18538220251451,0.15220540168795993,-0.4076071372310046,-0.41727263776046586,-0.15220540168795993,-0.17128770947081706,1.093483095439298,0.5151814898451733,0.4657788208762672,0.6266611599734867,0.6770153470670179,0.08160000228881836
0.5,8000,2.6746457307644063,0.19932356656058325,-0.34965554123798104,-0.27037213445652664,-0.19932356656058325,-0.31692656211417897,0.9854399034747118,0.617227955505518,0.6044359923932949,0.5743390614318207,0.6235462019979098,0.08160000228881836
