timestamp,config_id,hidden,output_replicas,epoch,seconds,relaxation,sweeps,minit,digits,target_scale,target_off,target_on,input_low,input_high,skip_scale,pixel_copy_scale,beta,lr,train_accuracy,train_mse,validation_accuracy,validation_mse
2026-05-20T01:39:18,1,120,4,0,0.0,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.0003,0.125,26.280954,0.0703125,27.076332
2026-05-20T01:39:22,1,120,4,1,2.9316017,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.0003,0.2265625,16.200754,0.3046875,16.001709
2026-05-20T01:39:25,1,120,4,2,0.9956621,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.0003,0.25,15.998551,0.3125,15.792851
2026-05-20T01:39:27,1,120,4,3,0.9448327,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.0003,0.28125,15.298571,0.2109375,15.188792
2026-05-20T01:39:29,1,120,4,4,0.9198934,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.0003,0.2265625,15.023642,0.2109375,15.56333
2026-05-20T01:39:31,1,120,4,5,0.9520762,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.0003,0.1640625,15.731438,0.1640625,15.762946
2026-05-20T01:39:33,1,120,4,6,0.923686,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.0003,0.2265625,15.367896,0.21875,15.226733
2026-05-20T01:39:36,1,120,4,7,0.951333,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.0003,0.171875,15.106499,0.2265625,14.711381
2026-05-20T01:39:38,1,120,4,8,1.0613555,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.0003,0.234375,14.412327,0.3359375,14.459688
2026-05-20T01:39:40,1,120,4,9,0.9272611,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.0003,0.3203125,14.332894,0.4375,13.838543
2026-05-20T01:39:42,1,120,4,10,0.93,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.0003,0.2109375,15.187259,0.2421875,14.970024
2026-05-20T01:39:44,1,120,4,11,0.9361354,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.0003,0.2734375,13.837002,0.2265625,13.742649
2026-05-20T01:39:47,1,120,4,12,0.9343844,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.0003,0.1171875,14.165902,0.2421875,14.196915
2026-05-20T01:39:49,1,120,4,13,0.9308182,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.0003,0.28125,14.080214,0.2421875,14.325754
2026-05-20T01:39:51,1,120,4,14,0.9411291,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.0003,0.1796875,14.270998,0.1640625,13.806033
2026-05-20T01:39:53,1,120,4,15,0.932009,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.0003,0.2265625,14.6548815,0.203125,14.515619
2026-05-20T01:39:55,1,120,4,16,0.9247856,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.0003,0.1875,13.955028,0.1796875,13.464283
2026-05-20T01:39:58,1,120,4,17,1.0682728,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.0003,0.234375,13.768448,0.1640625,13.607047
2026-05-20T01:40:00,1,120,4,18,0.9173523,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.0003,0.3203125,14.208322,0.3125,13.8846
2026-05-20T01:40:02,1,120,4,19,0.9552754,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.0003,0.1953125,14.1492195,0.1640625,13.980617
2026-05-20T01:40:04,1,120,4,20,0.9263245,8000,50.0,1,0-1-2-3-4-5-6-7-8-9,0.2,-0.2,0.2,-1.0,1.0,0.0,0.0,0.1,0.0003,0.203125,13.751742,0.234375,13.864982
