accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,std_1,std_2,std_3,std_4
0.5,0,0.0,0.18524805694861063,0.18524805694861063,0.20422353963287837,0.2556559316042239,0.5722495282851465,1.2660224506809308,0.7731250972051895,0.818446306506527,0.8020841245604727,0.6000187743175063
0.5,1,0.22983277678963493,0.13690923694669208,0.1625710620094588,0.13690923694669208,0.25365059250324884,0.491043855123399,1.2191865888654352,0.7736393560988852,0.84091383491395,0.7347939644815767,0.651745327445399
0.5,250,0.2451419240515669,0.1180737308327415,0.21035513194109134,0.1180737308327415,0.3118954218539499,0.5067995804169267,1.246671593918399,0.8251305295263897,0.8198622117043185,0.7149097996421484,0.6300895658688811
0.5,500,0.2733607793321502,0.15812844188625277,0.2344011142509787,0.15812844188625277,0.2602196932042825,0.47652209505003046,1.239971557679656,0.7275272233939352,0.8997087564425994,0.8309224449810771,0.6434130520651684
0.5,750,0.26942048124413776,0.005981923274715015,0.10301512887193769,0.005981923274715015,0.21576684581825792,0.49066676825790745,1.2604558413708324,0.7326934336633503,0.87164076127081,0.7966459592626268,0.5721507888992573
0.5,1000,0.23461259192603653,0.0571926597917885,0.16859396623040887,0.0571926597917885,0.2564778785130259,0.46224529242741474,1.2363709947568067,0.7228246561792693,0.8370513996185972,0.7823324888949421,0.6239273945924466
0.5,1250,0.20081207935698997,0.11908880721217055,0.17170627246640924,0.11908880721217055,0.24276042132135753,0.34805013813017255,1.1348877682365472,0.7878150434619412,0.8290223534615251,0.7534221303609825,0.6994860521925996
0.5,1500,0.2825552910489041,0.16155323487232284,0.24919306052327128,0.16155323487232284,0.2632256918443759,0.39500630288458954,1.1880888116646233,0.7449319913701323,0.8350698997783647,0.8305274405486165,0.6734815988837008
0.5,1750,0.17816861442559312,0.15073952737360297,0.2047894021283356,0.15073952737360297,0.19194619359521053,0.3917863165433168,1.1906952397022117,0.7327402779960136,0.8519126409937913,0.8484450948910233,0.6661639500895434
0.5,2000,0.2165457638515483,0.11081096435326426,0.16646006969957278,0.11081096435326426,0.20957634943805817,0.4407255355157551,1.2129364628431827,0.7381800953183758,0.7457445317634277,0.7586895613310127,0.6947432587811244
