timestamp,sample,label,seconds,equilibrated,checks,sweeps,final_energy,last_abs_delta,mean_abs_delta,typical_delta,threshold
2026-06-09T01:08:52.005,1,0,4.35802,false,5,5.0,-0.7361239,0.18590349,0.21061909,0.25148284,0.06287071
2026-06-09T01:08:52.706,2,1,0.000205,false,5,5.0,0.024367668,0.10296457,0.09253171,0.100281864,0.025070466
2026-06-09T01:08:52.707,3,2,0.000242,false,5,5.0,-0.20081358,0.14707398,0.14817448,0.14702898,0.036757246
2026-06-09T01:08:52.707,4,3,0.000214,false,5,5.0,-0.22467996,0.16408138,0.15634793,0.18394561,0.045986403
2026-06-09T01:08:52.708,5,4,0.000252,false,5,5.0,-0.9561887,0.18746668,0.19121909,0.17764825,0.04441206
2026-06-09T01:08:52.712,6,5,0.000199,false,5,5.0,-1.4122134,0.20508254,0.21886778,0.25411218,0.063528046
2026-06-09T01:08:52.713,7,6,0.000197,false,5,5.0,-0.9234912,0.15985352,0.18774176,0.18011911,0.045029778
2026-06-09T01:08:52.714,8,7,0.000214,false,5,5.0,-1.104713,0.17451388,0.16707739,0.18843107,0.047107767
2026-06-09T01:08:52.715,9,8,0.000197,false,5,5.0,-0.8716412,0.23109126,0.24463964,0.26554042,0.066385105
2026-06-09T01:08:52.716,10,9,0.000218,false,5,5.0,-0.7737035,0.1315481,0.1450234,0.11565909,0.028914772
