accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,response_norm,std_1,std_2,std_3,std_4
0.5,0,0.0,0.586432581152277,-0.7556077182165786,-0.8812473297767099,0.6929138641049103,0.586432581152277,1.5524723331469406,0.0,0.4577409902981495,0.09737342858835922,0.4553938505674115,0.6802950751135179
0.5,1,0.2976163404147983,0.5532484251025064,-0.8535051973080475,-0.626919595207921,0.5541184110492189,0.5532484251025064,1.3199297894839874,0.5501171143287451,0.17884821351372265,0.6372506848006741,0.6869729886042552,0.6258520029655327
0.75,250,0.14184823784014222,0.03957465181177031,-0.3080492553816086,0.03957465181177031,0.3002205467146658,0.8131753929926473,1.2946272428536978,0.6266601262435416,0.8013622937973781,0.9127173229733946,0.7923492100395005,0.030330295927701444
0.5,500,0.07920854963669961,0.04971604676343669,-0.2967388168709928,-0.04971604676343669,0.2744609412276896,0.772742463367337,1.3163757094396433,0.6660162462830652,0.7472311345635555,0.8628939120385379,0.7399764690721491,0.014503602258517271
0.75,750,0.036136987270765725,0.15607947042958337,-0.18650618167785046,0.15607947042958337,0.35845939076691474,0.7420231040873657,1.2050482252870256,0.5516537247898088,0.7554797790821647,0.8446891810966264,0.657844674315777,0.01420225797453257
0.75,1000,0.023554443407139476,0.16133824418642892,-0.252490423391662,0.16133824418642892,0.25853709045042855,0.722466836886806,1.1946958395495082,0.4226339451700003,0.7365462228777114,0.8097602973829371,0.689130872185397,0.01914762962034765
0.75,1250,0.038421966857462644,0.3184325947422749,-0.3184325947422749,0.3610739498240538,0.41145322257359346,0.7242570391926162,1.0480525679818697,0.43944409220826713,0.7122878127847316,0.7486289530921368,0.5895462532013799,0.01762570353993977
0.75,1500,0.02440548560146719,0.16051671971035783,-0.6994450827192445,0.16051671971035783,0.40371615903520375,0.7221831632397577,1.029133675732432,0.4032520286174042,0.10577682646941355,0.8066902417849678,0.6416656677017794,0.012826027532541636
0.75,1750,0.023854523489695217,0.3525699333229453,-0.7432569497083737,0.3525699333229453,0.6856663150846067,0.7430129820770079,0.9054956515679944,0.38425788447101467,0.02407766104664621,0.7655129237695656,0.03972228349961015,0.015020491883348464
0.75,2000,0.018676437469770022,0.2569465001335343,-0.7431705504172155,0.2569465001335343,0.7352143874623217,0.7779836917937755,0.9623568246820942,0.42728021279099687,0.014877569669448976,0.8041463237279091,0.022962121009021053,0.017406971019912263
0.75,2250,0.02563176764180001,0.26036534034532555,-0.74200643959362,0.26036534034532555,0.746059103548282,0.79468769099028,0.9747524985140928,0.3816180118186295,0.015152311536044013,0.8037252761812476,0.012747799532576227,0.013437984618173733
0.75,2500,0.018702850872263685,0.0664370778852816,-0.7181009572191543,0.0664370778852816,0.7366673180896202,0.796035958349383,1.061524016228557,0.448120762175207,0.01973199474001986,0.8224647711937554,0.01373098665303039,0.012888387851919035
0.75,2750,0.026597990659022352,0.36391494871243557,-0.704235015362107,0.36391494871243557,0.7351047687340266,0.8013550499595582,0.9517826545429033,0.4307802702879842,0.01378221451922363,0.7554891385391085,0.012708924557051237,0.020941556810518853
0.75,3000,0.03280106734144123,0.26750954951712747,-0.6754401065710204,0.26750954951712747,0.7255642017894371,0.5611758145022856,0.788616578899394,0.36033727639716123,0.016357464684876557,0.7890240526822718,0.014983805905430352,0.32722061113623424
0.75,3250,0.035871680393863646,0.07402838110603473,-0.6598235202865692,0.07402838110603473,0.7047261002727274,0.21982326295053248,0.6370747362606921,0.4229380490163204,0.018925125223496136,0.8014141729307482,0.01728895228046692,0.611987980425165
1.0,3500,0.03312301096179699,0.09409805635109386,-0.6282215165626754,0.36225829468610404,0.6917294032973141,-0.09409805635109386,0.3651557039354823,0.42390356163117193,0.02671742568935892,0.7343531798110158,0.018895881625335408,0.7231173983695888
0.75,3750,0.04856104384749592,0.023272777107626826,-0.5915124515001717,-0.023272777107626826,0.6704754001284353,-0.2938446901173329,0.4552977593112388,0.36743948430322987,0.02298162416712692,0.7784176477705174,0.024539331381914567,0.6448392049862294
0.75,4000,0.048670129205867434,0.12341738288037214,-0.5723519335078439,-0.12341738288037214,0.6638155081799992,-0.24274882412592796,0.5328497102088003,0.38076899129203085,0.01986838663065622,0.746647879637353,0.017159915375524207,0.6115294437950577
1.0,4250,0.038642233870196954,0.228341079782904,-0.5614835400496674,0.228341079782904,0.6524738949069927,-0.6863628562161324,0.25172420662000117,0.3473160701906842,0.031118709498377115,0.7429469154864965,0.02173721914003443,0.11048685805186743
1.0,4500,0.027783005034328352,0.2594877923309346,-0.5654993527293041,0.2594877923309346,0.6414341552481073,-0.7139656762732368,0.23688356038950795,0.2816301988819446,0.02429901570910308,0.6849947958470302,0.02878300560959373,0.10546144262562204
1.0,4750,0.04591100129902625,0.22201417798659534,-0.5541684087034144,0.22201417798659534,0.657442391608916,-0.7335365769348673,0.24809405448753144,0.3157815385831228,0.03440174733874598,0.7322474964410323,0.023067284758631325,0.06892528094693028
1.0,5000,0.041366683093433484,0.38297696557926175,-0.5675527250311644,0.38297696557926175,0.6563177667487096,-0.7133613197597488,0.19200182027405366,0.2988472355606795,0.031647410296381163,0.6488108810525651,0.02166593612244526,0.03753948269013842
1.0,5250,0.03627900911457576,0.4887641345594387,-0.5755709960776245,0.4887641345594387,0.6426616578085673,-0.6749133917946449,0.16871852077947075,0.27394610725241936,0.025459290867002993,0.5393485247597264,0.019429169189832788,0.0379644542695103
1.0,5500,0.027392784889769397,0.5645291699180812,-0.5957494865160926,0.5645291699180812,0.6522036051103451,-0.6550178267601213,0.14825708841394714,0.28527409988146946,0.03827431764443934,0.4612486206697876,0.018471510627584075,0.051473679035974856
1.0,5750,0.013959055594256396,0.5873731167599194,-0.5873731167599194,0.6141561469542818,0.6589850005749956,-0.6190537761406316,0.14513691975278414,0.2592186551272635,0.030526858189639638,0.4169782339974423,0.018082876159181003,0.10384327610665527
1.0,6000,0.011692312337844195,0.5765647930039997,-0.5765647930039997,0.6552800470695243,0.6723148566601631,-0.5784895332364411,0.14579446180725444,0.2637758578115485,0.035629055882492315,0.33511291202825455,0.019270307890297714,0.07090200651938885
