best_accuracy,best_epoch,best_mse,beta,final_accuracy,final_mse,lr,name,nudged_temp_factor,outdir,stepsize,temp_fraction,weight_decay
0.75,2500,0.7849290373760658,0.35,0.75,0.9889255291516057,0.00025,structured_bias_b0p35_T0p010_eta1p0_lr25e4_wd4e3,1.25,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/edge_signal_xor/runs/edge_split_input_structured_20260514_194552/structured_bias_b0p35_T0p010_eta1p0_lr25e4_wd4e3,1.0,0.01,0.004
1.0,3500,0.5276899914835705,0.5,0.5,1.36227241121776,0.0002,structured_bias_b0p50_T0p010_eta1p0_lr20e4_wd5e3,1.3,/Users/fabian/Documents/GitHub/InteractiveIsing.jl/ext/IsingLearning/experiments/edge_signal_xor/runs/edge_split_input_structured_20260514_194552/structured_bias_b0p50_T0p010_eta1p0_lr20e4_wd5e3,1.0,0.01,0.005
