accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,std_1,std_2,std_3,std_4
0.5,0,0.0,0.5741013339662677,-0.989179195329727,-0.9907831827977831,0.8242142732372622,0.5741013339662677,1.6180076005130177,0.007000149485093367,0.007298711846152902,0.5582094911892389,0.821651580620634
0.5,1,0.6781606391773956,0.578883868388634,-0.9906449095733283,-0.9884521103549244,0.8227797904356456,0.578883868388634,1.6195776463569338,0.0074906355279149815,0.007137831585540266,0.5583491301673784,0.8219693566036461
0.5,300,0.009150407197287503,0.42680881610197724,-0.8923417637808512,-0.42680881610197724,0.9884620872891506,0.5348823069421996,1.100842628281519,0.3582642196128084,0.6429221200189001,0.007043029904637544,0.5680768319094867
0.75,600,0.09149614640338546,0.09259020438854522,-0.6600914466722495,0.09259020438854522,0.9891383154423763,0.9897552059469558,1.2245435293953568,0.754384024245059,0.9413835259144802,0.006662499748259941,0.007727063281027062
0.75,900,0.01959530668233435,0.21946236174080372,-0.8252010217696122,0.21946236174080372,0.987810466747617,0.9905268299308786,1.150534833231304,0.5596681770836536,0.9420386677937913,0.007775894758594026,0.007545949292162387
0.75,1200,0.010114448586676724,0.9879345713662427,-0.9879345713662427,0.9907574374336923,0.9902921231595968,0.9895460237203023,0.9896546557262308,0.006628172576647331,0.007240078864668905,0.00688439431412696,0.0071990987880096126
0.75,1500,0.009602142933366172,0.9873183384246634,-0.9894754703933986,0.9885541562105429,0.9913475802613173,0.9873183384246634,0.9874377039174482,0.008585933407978922,0.009302984566652376,0.0059619615003586686,0.010179282279402641
0.75,1800,0.011701796015614769,0.9071386400018856,-0.9071386400018856,0.9862155884886733,0.9895196843525359,0.9887680717457116,0.9910303805981597,0.40567819659430765,0.021900177726616017,0.008176393280119073,0.00958323588853547
0.75,2100,0.006353697792031972,0.827144913570986,-0.827144913570986,0.9497365920105135,0.9910253936155381,0.9868725835767349,0.9950371245039362,0.5565768821295496,0.14291388757857923,0.008741817049318352,0.00797614702980742
0.75,2400,0.010936159122111742,0.9889109534692246,-0.9897431660997217,0.9892034423568412,0.9889109534692246,0.9925425142878468,0.992642601624024,0.005490046787538347,0.00810428413101042,0.007478936257441071,0.005841816176402667
0.75,2700,0.011258712613711051,0.9861309058663149,-0.9906737088308738,0.9890256443657334,0.9900331498249386,0.9861309058663149,0.98625568238208,0.006047651451711968,0.0070913221680005065,0.0071225836809223845,0.009757522770271376
0.75,3000,0.01637605497963959,0.9902564034304807,-0.9903495591025525,0.9918765035762899,0.9906366485626211,0.9902564034304807,0.9903418364874583,0.006854655165413101,0.005668296724892308,0.007277607010006899,0.006405720062554763
