accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,std_1,std_2,std_3,std_4,temperature
0.25,0,0.0,0.010346898927955638,0.08291695981820417,-0.1027947067958163,-0.010346898927955638,-0.06567318530831547,4.135850880122835,0.27855675148115794,0.324183967923055,0.2706790751272033,0.3492916674451704,0.18398955085838678
0.5,1,3.7231255300344173,0.03391190998340654,-0.03391190998340654,-0.08936148294443812,-0.04623433656734286,-0.09295980030963373,4.013702766874786,0.3149133502686713,0.3599302473987323,0.3078968244551025,0.3275400323324859,0.18398955085838678
0.25,500,6.120708053318699,0.042473610704451104,0.042473610704451104,-0.09842862273692692,-0.04794159077601187,-0.0846540138338699,4.1094290352746405,0.3443948727549851,0.1722918392923461,0.237235375681129,0.44831538288561,0.18398955085838678
1.0,1000,4.345442203986759,0.010497731055751735,-0.010497731055751735,0.020113684341476132,0.02128757590942751,-0.012692902686756461,3.9356903643370433,0.24399780748963334,0.27174924114168664,0.23253213866706204,0.30475576347554845,0.18398955085838678
0.25,1500,6.06744929667412,0.014474451576472787,-0.014474451576472787,-0.03539041704395066,-0.021412328535233005,0.07187134529893546,4.1159711316654874,0.2714831928748057,0.2640928667915929,0.28344702969877283,0.26814848528222784,0.18398955085838678
0.25,2000,4.552210143845092,0.01205040080028083,0.012528823822467713,-0.054986612972643296,0.03168989452601245,0.01205040080028083,4.048958433221153,0.3072228670709315,0.30739370194959387,0.33989383147626223,0.3257232367327866,0.18398955085838678
0.5,2500,4.893355119411447,0.0012491516880752164,-0.0012491516880752164,-0.011352871854119623,0.005846096602026935,0.04560299950719234,4.050421687693412,0.29016210935382036,0.32872568859706136,0.26341412107732,0.2882090065674806,0.18398955085838678
0.5,3000,6.026319352483113,0.005667202144891806,-0.04525433212462739,0.020573047096382913,-0.05058913177879593,0.005667202144891806,3.991694600271967,0.28284000356412237,0.3021826027290344,0.3075646995057496,0.28045746166499946,0.18398955085838678
0.25,3500,6.2837441098987465,0.013319941904436467,-0.0392405485978975,-0.013319941904436467,-0.07041653256205065,0.035885979727837435,4.08237278887285,0.28667948137997545,0.31459419015335216,0.28413537427831953,0.3022955126017009,0.18398955085838678
0.0,4000,5.474790295513511,0.0023527310690987097,0.03589718022860499,-0.0023527310690987097,-0.05996015595822937,0.04542255866550907,4.145370768928968,0.313680445882915,0.3034606880246801,0.2613879961008269,0.26109708565697903,0.18398955085838678
0.5,4500,4.70400924087147,0.011332838684372562,-0.011332838684372562,-0.03630305878274163,-0.11699617113274707,-0.029034183183313956,4.116926566338421,0.3390551361182384,0.355675248963185,0.30083037154862263,0.34537654999151035,0.18398955085838678
0.25,5000,5.350629214491425,0.0043131608422555074,0.015012356812210826,-0.0043131608422555074,0.0675507266363357,0.08533138483503759,4.040128305883286,0.2623314880854822,0.3017212563944094,0.293316149573334,0.2929920316715004,0.18398955085838678
