nn,runs,solved,solved_fraction,best_mse,mean_best_mse,best_min_margin,mean_best_min_margin
9,5,1,0.2,0.07730617,0.18027225,1.7590315,1.5380989
10,5,0,0.0,0.11018009,0.18023556,1.729882,1.5312047
