epoch,mse,output_mse,spin_score_mse,accuracy,all_correct,min_margin,mean_margin,scores,spin_scores,predictions,outputs
0,2.0,1.474853515625,1.16522216796875,0.5,false,-1.0,0.0,1.0|1.0|1.0|1.0,0.3594|0.3281|0.5|0.4531,1.0|1.0|1.0|1.0,-0.1875|-0.375|1.0|1.0|0.3125|-0.5625|0.5625|1.0|0.125|-0.125|1.0|1.0|0.25|0.8125|-0.25|1.0
25,0.619140625,0.619140625,0.619140625,1.0,true,0.125,0.21875,-0.375|0.1875|0.125|-0.1875,-0.375|0.1875|0.125|-0.1875,-1.0|1.0|1.0|-1.0,-0.375|-0.375|-0.375|-0.375|0.1875|0.1875|0.1875|0.1875|0.125|0.125|0.125|0.125|-0.1875|-0.1875|-0.1875|-0.1875
50,0.6591796875,0.6591796875,0.6591796875,1.0,true,0.0,0.203125,-0.1875|0.0|0.1875|-0.4375,-0.1875|0.0|0.1875|-0.4375,-1.0|1.0|1.0|-1.0,-0.1875|-0.1875|-0.1875|-0.1875|0.0|0.0|0.0|0.0|0.1875|0.1875|0.1875|0.1875|-0.4375|-0.4375|-0.4375|-0.4375
75,0.52734375,0.52734375,0.52734375,1.0,true,0.125,0.28125,-0.375|0.125|0.375|-0.25,-0.375|0.125|0.375|-0.25,-1.0|1.0|1.0|-1.0,-0.375|-0.375|-0.375|-0.375|0.125|0.125|0.125|0.125|0.375|0.375|0.375|0.375|-0.25|-0.25|-0.25|-0.25
100,0.7041015625,0.7041015625,0.7041015625,1.0,true,0.0,0.171875,-0.125|0.1875|0.0|-0.375,-0.125|0.1875|0.0|-0.375,-1.0|1.0|1.0|-1.0,-0.125|-0.125|-0.125|-0.125|0.1875|0.1875|0.1875|0.1875|0.0|0.0|0.0|0.0|-0.375|-0.375|-0.375|-0.375
125,0.4619140625,0.4619140625,0.4619140625,1.0,true,0.25,0.328125,-0.3125|0.25|0.25|-0.5,-0.3125|0.25|0.25|-0.5,-1.0|1.0|1.0|-1.0,-0.3125|-0.3125|-0.3125|-0.3125|0.25|0.25|0.25|0.25|0.25|0.25|0.25|0.25|-0.5|-0.5|-0.5|-0.5
150,0.826171875,0.826171875,0.826171875,0.75,false,-0.0,0.09375,0.0|0.0625|0.125|-0.1875,0.0|0.0625|0.125|-0.1875,1.0|1.0|1.0|-1.0,0.0|0.0|0.0|0.0|0.0625|0.0625|0.0625|0.0625|0.125|0.125|0.125|0.125|-0.1875|-0.1875|-0.1875|-0.1875
175,0.5615234375,0.5615234375,0.5615234375,1.0,true,0.0625,0.265625,-0.375|0.1875|0.0625|-0.4375,-0.375|0.1875|0.0625|-0.4375,-1.0|1.0|1.0|-1.0,-0.375|-0.375|-0.375|-0.375|0.1875|0.1875|0.1875|0.1875|0.0625|0.0625|0.0625|0.0625|-0.4375|-0.4375|-0.4375|-0.4375
200,0.0771484375,0.0771484375,0.0771484375,1.0,true,0.625,0.734375,-0.625|0.8125|0.8125|-0.6875,-0.625|0.8125|0.8125|-0.6875,-1.0|1.0|1.0|-1.0,-0.625|-0.625|-0.625|-0.625|0.8125|0.8125|0.8125|0.8125|0.8125|0.8125|0.8125|0.8125|-0.6875|-0.6875|-0.6875|-0.6875
225,0.1123046875,0.1123046875,0.1123046875,1.0,true,0.5625,0.671875,-0.75|0.5625|0.6875|-0.6875,-0.75|0.5625|0.6875|-0.6875,-1.0|1.0|1.0|-1.0,-0.75|-0.75|-0.75|-0.75|0.5625|0.5625|0.5625|0.5625|0.6875|0.6875|0.6875|0.6875|-0.6875|-0.6875|-0.6875|-0.6875
