timestamp,workers,batch,warmup_batches,hidden,batchsize,jobs,minit,sweeps,relaxation,graph_states,graph_edges,param_bytes_per_graph,synced_graphs,build_graph_seconds,build_graph_cpu_threads,build_layer_seconds,build_layer_cpu_threads,build_trainer_seconds,build_trainer_cpu_threads,load_seconds,load_cpu_threads,job_build_seconds,job_build_cpu_threads,write_state_seconds,write_state_cpu_threads,reset_worker_seconds,reset_worker_cpu_threads,apply_input_target_seconds,apply_input_target_cpu_threads,reset_buffers_seconds,reset_buffers_cpu_threads,manager_run_seconds,manager_run_cpu_threads,collect_gradient_seconds,collect_gradient_cpu_threads,optimiser_seconds,optimiser_cpu_threads,serial_sync_seconds,serial_sync_cpu_threads,striped_sync_seconds,striped_sync_cpu_threads,graph_threaded_sync_seconds,graph_threaded_sync_cpu_threads,striped_sync_error,active_workers,min_worker_norm,mean_worker_norm,max_worker_norm,gradient_norm
2026-05-20T00:22:47,15,1,1,120,32,32,1,1.0,130,914,190560,765896,17,2.2257705,1.6356695355608317,0.0114897,NaN,32.4567532,1.4023468311673268,1.2444805,1.3810983779978874,2.1e-6,NaN,6.69e-5,NaN,1.33e-5,NaN,0.0001,NaN,0.000359,NaN,0.0035782,NaN,0.00052,NaN,0.0015069,NaN,0.0007101,NaN,0.0336211,11.618447938943104,0.0004977,NaN,0.0,15,8.584492,13.036257,16.226635,20.926573
2026-05-20T00:22:52,15,2,1,120,32,32,1,1.0,130,914,190560,765896,17,2.2257705,1.6356695355608317,0.0114897,NaN,32.4567532,1.4023468311673268,1.2444805,1.3810983779978874,2.1e-6,NaN,6.0e-5,NaN,2.25e-5,NaN,0.0001134,NaN,0.0003785,NaN,0.0037736,NaN,0.0005335,NaN,0.0011367,NaN,0.0051845,NaN,0.0313629,16.44060338807955,0.0004776,NaN,0.0,15,11.697772,12.6154995,15.449979,18.919193
2026-05-20T00:23:30,16,1,1,120,32,32,1,1.0,130,914,190560,765896,18,0.0441109,1.0626625165208599,2.79e-5,NaN,22.2790672,1.3921419923721043,0.8739837,1.5553779778730425,2.0e-6,NaN,6.53e-5,NaN,1.16e-5,NaN,0.0001026,NaN,0.00038,NaN,0.003202,NaN,0.004904,NaN,0.001346,NaN,0.0008752,NaN,0.0168305,NaN,0.0005149,NaN,0.0,16,8.117318,11.544556,14.638605,18.724808
2026-05-20T00:23:35,16,2,1,120,32,32,1,1.0,130,914,190560,765896,18,0.0441109,1.0626625165208599,2.79e-5,NaN,22.2790672,1.3921419923721043,0.8739837,1.5553779778730425,1.9e-6,NaN,6.11e-5,NaN,1.37e-5,NaN,9.03e-5,NaN,0.0003782,NaN,0.0039656,NaN,0.0005526,NaN,0.0035339,NaN,0.0007598,NaN,0.0165584,NaN,0.0006541,NaN,0.0,16,10.8849945,12.16671,12.824476,19.179909
