accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,std_1,std_2,std_3,std_4
0.5,0,0.0,0.10316675168636644,0.1932137529622347,0.10316675168636644,0.22992033313836197,0.4847223072047467,1.2563729895910303,0.7703286684495344,0.8481012075042907,0.795634818491079,0.6404686282140086
0.5,1,0.1820746573571155,0.1392029806915941,0.25171706194981913,0.1392029806915941,0.24490945366823516,0.49012675936758787,1.274601650942369,0.7297625372495499,0.8319187796621207,0.7504462985639054,0.6590044892002616
1.0,250,0.14870650471859528,0.3192230164101005,-0.4112618866587766,0.47944859125770595,0.5076989561812273,-0.3192230164101005,0.3308509885937464,0.6529461276521259,0.483890705346658,0.4533004225506623,0.5508599582228928
1.0,500,0.19357376983277075,0.32560248521450363,-0.45274839255150834,0.6182082308480187,0.5694298200582917,-0.32560248521450363,0.27136299116276164,0.5762576227997211,0.2657597321784703,0.36602775981636226,0.5587901022444007
1.0,750,0.1561016470741936,0.4121736103141629,-0.4194582221994482,0.5617071020553586,0.5057701195919146,-0.4121736103141629,0.2797331148149532,0.6044527214851058,0.33073083600325237,0.41870424336600925,0.5256575442959801
1.0,1000,0.11508210651685132,0.4551777625588444,-0.48129734137279645,0.738051288201724,0.6567377381923875,-0.4551777625588444,0.18808245661784256,0.31004610053994,0.15726707052088376,0.32086254285237875,0.6043253714819897
1.0,1250,0.13164855580219728,0.4838077555342502,-0.4838077555342502,0.6581295350705587,0.639869018683245,-0.6671539809898814,0.1559526610281785,0.5747637085359383,0.3365527360161188,0.359479836578528,0.369918784506502
1.0,1500,0.1505703475746632,0.6413054115076111,-0.6433425208665304,0.7912222159343072,0.6496815483688174,-0.6413054115076111,0.10554438647705394,0.39615877915515335,0.2294254588328395,0.24628485241013393,0.34351949910758595
1.0,1750,0.16398839046781163,0.6108041633869541,-0.6781773618384219,0.6108041633869541,0.6769437258073058,-0.6388219413679305,0.12246453900067567,0.24385703300999936,0.35231611153734904,0.144627089203629,0.37696139219703906
1.0,2000,0.17253526832660274,0.6250993350689994,-0.6250993350689994,0.7685104470655897,0.6827936981981904,-0.7863371046318536,0.08510239811083994,0.2703472203268136,0.13242523182427104,0.21256202920844003,0.2173536021799678
