accuracy,epoch,grad_norm,mse
0.5,0,0.0,1.9578756813888214
0.5,1,1.049131057819504,1.9639766712755515
0.5,300,0.01688047666436724,1.0408341644040273
0.4140625,600,0.1693584554066078,1.0864280844473608
0.515625,900,0.014723265787894717,1.01698716109487
0.515625,1200,0.026146290466670323,1.0184128358330118
0.5,1500,0.06984478324968307,0.9954203088733309
0.46875,1800,0.03520125999743836,1.0360008180804559
0.515625,2100,0.018893216668724868,0.9926296424166788
0.4609375,2400,0.0401024057333387,1.0515093154400466
0.546875,2700,0.031879077572366445,0.9821521352735126
0.5234375,3000,0.014428838863587829,1.0364634833741162
