accuracy,epoch,grad_norm,mse
0.5,0,0.0,1.8424039581311589
0.5,1,5.612739971586507,1.843946302412911
0.5,500,5.688595565889706,1.8158814686875704
0.5,1000,7.4981333978046925,1.823996904383328
0.5,1500,8.814305008980728,1.8029974233775332
0.5,2000,5.059261641360049,1.8233831742709725
0.5,2500,2.7790325841322217,1.8350797432640917
0.5,3000,6.362206128139638,1.886417869687072
0.5,3500,6.440066860854976,1.8451654211158577
0.5,4000,8.162414792656056,1.8144117338870327
0.5,4500,3.0854597460811397,1.8406008813370696
0.5,5000,2.289814443499799,1.8871497123579402
