timestamp,workers,batch,warmup_batches,hidden,output_replicas,batchsize,jobs,minit,sweeps,relaxation,graph_states,graph_edges,param_bytes_per_graph,synced_graphs,build_graph_seconds,build_graph_cpu_threads,build_layer_seconds,build_layer_cpu_threads,build_trainer_seconds,build_trainer_cpu_threads,load_seconds,load_cpu_threads,job_build_seconds,job_build_cpu_threads,write_state_seconds,write_state_cpu_threads,reset_worker_seconds,reset_worker_cpu_threads,apply_input_target_seconds,apply_input_target_cpu_threads,reset_buffers_seconds,reset_buffers_cpu_threads,manager_run_seconds,manager_run_cpu_threads,collect_gradient_seconds,collect_gradient_cpu_threads,optimiser_seconds,optimiser_cpu_threads,serial_sync_seconds,serial_sync_cpu_threads,striped_sync_seconds,striped_sync_cpu_threads,graph_threaded_sync_seconds,graph_threaded_sync_cpu_threads,striped_sync_error,active_workers,min_worker_norm,mean_worker_norm,max_worker_norm,gradient_norm
2026-05-20T01:51:20,8,1,1,120,4,64,64,1,5.0,800,944,197760,794816,10,2.0786442,1.0974701682952763,0.0118554,NaN,9.7235117,1.5940742890246125,1.2389792,1.3620083371859673,2.4e-6,NaN,0.0002141,NaN,1.0e-6,NaN,0.0001341,NaN,0.0002711,NaN,0.0150063,NaN,0.0003983,NaN,0.0013252,NaN,0.0004562,NaN,0.0288656,6.495621085305692,0.0003499,NaN,0.0,8,58.206444,65.6428,76.31335,25.793678
2026-05-20T01:51:26,8,2,1,120,4,64,64,1,5.0,800,944,197760,794816,10,2.0786442,1.0974701682952763,0.0118554,NaN,9.7235117,1.5940742890246125,1.2389792,1.3620083371859673,3.0e-6,NaN,0.0001185,NaN,1.1e-6,NaN,0.0001539,NaN,0.0002796,NaN,0.0153056,NaN,0.0003625,NaN,0.001311,NaN,0.0004785,NaN,0.0272421,9.176972406679367,0.0003536,NaN,0.0,8,62.151516,70.56879,75.26457,27.3305
2026-05-20T01:51:31,8,3,1,120,4,64,64,1,5.0,800,944,197760,794816,10,2.0786442,1.0974701682952763,0.0118554,NaN,9.7235117,1.5940742890246125,1.2389792,1.3620083371859673,2.4e-6,NaN,0.0001211,NaN,8.0e-7,NaN,0.0001541,NaN,0.0002537,NaN,0.0162679,NaN,0.0003609,NaN,0.0012176,NaN,0.000457,NaN,0.0109037,NaN,0.0003585,NaN,0.0,8,66.09402,77.15323,93.259674,28.829105
2026-05-20T01:51:47,12,1,1,120,4,64,64,1,5.0,800,944,197760,794816,14,0.0442008,1.0605011673996851,3.11e-5,NaN,3.7621848,1.6031243334989818,0.8109791,1.2330773998984685,2.8e-6,NaN,0.0001379,NaN,9.0e-7,NaN,0.0001714,NaN,0.0003475,NaN,0.0117682,NaN,0.0005019,NaN,0.0013166,NaN,0.0007324,NaN,0.0153427,NaN,0.0004197,NaN,0.0,12,42.554333,50.502014,56.044548,28.69025
2026-05-20T01:51:52,12,2,1,120,4,64,64,1,5.0,800,944,197760,794816,14,0.0442008,1.0605011673996851,3.11e-5,NaN,3.7621848,1.6031243334989818,0.8109791,1.2330773998984685,2.5e-6,NaN,0.000136,NaN,8.0e-7,NaN,0.0001669,NaN,0.000359,NaN,0.0113072,NaN,0.0004864,NaN,0.0042387,NaN,0.0008099,NaN,0.0139377,NaN,0.0004277,NaN,0.0,12,47.221474,57.441036,63.297325,29.84862
2026-05-20T01:51:57,12,3,1,120,4,64,64,1,5.0,800,944,197760,794816,14,0.0442008,1.0605011673996851,3.11e-5,NaN,3.7621848,1.6031243334989818,0.8109791,1.2330773998984685,3.0e-6,NaN,0.0001546,NaN,1.1e-6,NaN,0.0001622,NaN,0.0003612,NaN,0.0138423,NaN,0.0005,NaN,0.0012683,NaN,0.0008184,NaN,0.01313,NaN,0.0004404,NaN,0.0,12,52.309677,67.332794,79.98953,34.848866
2026-05-20T01:52:14,15,1,1,120,4,64,64,1,5.0,800,944,197760,794816,17,0.0437912,1.070420541113283,3.03e-5,NaN,3.6862108,1.5598673846867357,0.8058532,1.0082481523930165,2.9e-6,NaN,0.0001406,NaN,1.1e-6,NaN,0.0001654,NaN,0.0004384,NaN,0.0099059,NaN,0.000617,NaN,0.0013853,NaN,0.0007857,NaN,0.020056,0.7790686078978859,0.0005106,NaN,0.0,15,37.490147,45.290565,53.60779,29.20102
2026-05-20T01:52:19,15,2,1,120,4,64,64,1,5.0,800,944,197760,794816,17,0.0437912,1.070420541113283,3.03e-5,NaN,3.6862108,1.5598673846867357,0.8058532,1.0082481523930165,2.7e-6,NaN,0.0001399,NaN,1.2e-6,NaN,0.0001782,NaN,0.0004563,NaN,0.0123304,NaN,0.0006036,NaN,0.0011065,NaN,0.000768,NaN,0.0163662,NaN,0.0005364,NaN,0.0,15,44.60128,52.283848,58.572746,34.874523
2026-05-20T01:52:24,15,3,1,120,4,64,64,1,5.0,800,944,197760,794816,17,0.0437912,1.070420541113283,3.03e-5,NaN,3.6862108,1.5598673846867357,0.8058532,1.0082481523930165,2.9e-6,NaN,0.0001443,NaN,1.0e-6,NaN,0.0001646,NaN,0.0003991,NaN,0.0099017,NaN,0.0006565,NaN,0.0013746,NaN,0.0007866,NaN,0.0176287,NaN,0.0005249,NaN,0.0,15,47.545235,57.600815,67.0678,37.525333
2026-05-20T01:52:41,16,1,1,120,4,64,64,1,5.0,800,944,197760,794816,18,0.0437811,1.0706674798029285,2.87e-5,NaN,3.8035285,1.4460257100742113,0.8048797,1.0094676260315671,3.0e-6,NaN,0.0001337,NaN,1.1e-6,NaN,0.0002014,NaN,0.0004162,NaN,0.0094123,NaN,0.0007612,NaN,0.0012906,NaN,0.0008263,NaN,0.0230099,11.543944128396907,0.0005502,NaN,0.0,16,38.2222,47.04336,56.56045,32.84288
2026-05-20T01:52:46,16,2,1,120,4,64,64,1,5.0,800,944,197760,794816,18,0.0437811,1.0706674798029285,2.87e-5,NaN,3.8035285,1.4460257100742113,0.8048797,1.0094676260315671,2.8e-6,NaN,0.0001388,NaN,1.1e-6,NaN,0.0001473,NaN,0.0004623,NaN,0.0090225,NaN,0.0006256,NaN,0.001367,NaN,0.0010649,NaN,0.0180409,NaN,0.0005671,NaN,0.0,16,41.66902,49.129448,59.477325,31.54548
2026-05-20T01:52:51,16,3,1,120,4,64,64,1,5.0,800,944,197760,794816,18,0.0437811,1.0706674798029285,2.87e-5,NaN,3.8035285,1.4460257100742113,0.8048797,1.0094676260315671,2.1e-6,NaN,0.0001285,NaN,1.3e-6,NaN,0.0006491,NaN,0.0004241,NaN,0.0099363,NaN,0.0006208,NaN,0.0010638,NaN,0.0008341,NaN,0.0166246,NaN,0.0005755,NaN,0.0,16,43.697277,53.390945,62.37837,33.681637
