from_snapshot,to_snapshot,from_sweep,to_sweep,cosine,centered_cosine,relative_change_norm,output_from,output_to
0,1,0,1,0.6096434100475173,0.6098780204930312,0.9890483444152139,-0.708628425440313,-0.835428935837812
1,2,1,2,0.7779909196877783,0.7776315469624769,0.6981732711501837,-0.835428935837812,-0.38036773202175445
2,3,2,3,0.8913694483980309,0.8918161493946142,0.48577016608814033,-0.38036773202175445,-0.8008212213963986
3,4,3,4,0.9451905979759309,0.9452567260031924,0.34468911400162033,-0.8008212213963986,-0.9832565105019393
4,5,4,5,0.9337272271021052,0.933998979454198,0.3632792984000313,-0.9832565105019393,-0.7287900497637816
5,6,5,6,0.932931946687526,0.9340987847620033,0.37384241737730284,-0.7287900497637816,-0.9528211230718817
6,7,6,7,0.9434483603535859,0.9442342109008711,0.3357294829549247,-0.9528211230718817,-0.6224339961172216
7,8,7,8,0.9317114858603828,0.9316353721852119,0.3680459746736203,-0.6224339961172216,-0.9547864628564273
8,9,8,9,0.9114769007147175,0.9144926957509376,0.41797513417423315,-0.9547864628564273,-0.9572146944599562
9,10,9,10,0.9603533632887868,0.9604677655370814,0.28792589889940656,-0.9572146944599562,-0.696750949801491
10,11,10,11,0.9569970648666831,0.9584163754014475,0.2915328985439922,-0.696750949801491,-0.7661887324959986
11,12,11,12,0.9376525138467461,0.937866611478054,0.3565100035637275,-0.7661887324959986,-0.9846284094472915
12,13,12,13,0.9598772352445266,0.9600262995134369,0.2853036612593624,-0.9846284094472915,-0.9412027169395327
13,14,13,14,0.9793251919775411,0.9793327543594927,0.2064021561519598,-0.9412027169395327,-0.8618742399337718
14,15,14,15,0.9721185059438113,0.9721077214405759,0.23463140230805726,-0.8618742399337718,-0.4993613858214818
15,16,15,16,0.9666459132572921,0.9666145326459028,0.25685993773810123,-0.4993613858214818,-0.9297584438643263
16,17,16,17,0.9508927041335525,0.9507802759704453,0.31112997053004354,-0.9297584438643263,-0.9090103371137124
17,18,17,18,0.9432373460719432,0.9430915793705635,0.33988104701698474,-0.9090103371137124,-0.6506602382655853
18,19,18,19,0.9595074281697353,0.9613380104553856,0.2823698145052875,-0.6506602382655853,-0.9922917347864555
19,20,19,20,0.9682663590063901,0.9684257545848008,0.25671781486766326,-0.9922917347864555,-0.6837317162409869
20,21,20,21,0.9649718996620179,0.9653864849480167,0.26353766206195955,-0.6837317162409869,-0.6242197622059518
21,22,21,22,0.9608722394946011,0.9608552379868258,0.2808390937383767,-0.6242197622059518,-0.9893384424736509
22,23,22,23,0.9588398943871779,0.9588521445847894,0.2884456308667123,-0.9893384424736509,-0.7587184189610356
23,24,23,24,0.9617079207983917,0.9625907379903065,0.2758419028113442,-0.7587184189610356,-0.9859712209818459
24,25,24,25,0.9599215495849037,0.9595997672351647,0.28339764921990424,-0.9859712209818459,-0.7338262574368839
25,26,25,26,0.9565528494782122,0.9562509942645951,0.29971476161009053,-0.7338262574368839,-0.9365715867382471
26,27,26,27,0.9740311195369112,0.9739901034331284,0.22859566179927338,-0.9365715867382471,-0.5915438323349651
27,28,27,28,0.9788934852566562,0.9793920062128494,0.2049777848047051,-0.5915438323349651,-0.9782826527171871
28,29,28,29,0.9653879832838279,0.9654488296398331,0.269145325609758,-0.9782826527171871,-0.9928912866953414
29,30,29,30,0.9611059503312483,0.9611065423253977,0.2765565633625785,-0.9928912866953414,-0.8914180612365217
30,31,30,31,0.9646863662390737,0.9658611040921672,0.2704442071199995,-0.8914180612365217,-0.4221181946855799
31,32,31,32,0.9737598270905117,0.9751845849813898,0.22757922107973974,-0.4221181946855799,-0.8145763556110897
32,33,32,33,0.9575718027509448,0.9580360275591402,0.2925676654107787,-0.8145763556110897,-0.8525292066973602
33,34,33,34,0.9491512176143678,0.9488358398821213,0.31585307384359473,-0.8525292066973602,-0.6151513523346452
34,35,34,35,0.9423420000654915,0.9420906785514541,0.33848721072430116,-0.6151513523346452,-0.6412201239327588
35,36,35,36,0.9443418555086737,0.9444466143732837,0.3475342109578434,-0.6412201239327588,-0.8715254798291192
36,37,36,37,0.9678056325493186,0.9703035062799332,0.25346853824847143,-0.8715254798291192,-0.5338302354744315
37,38,37,38,0.9476250670753967,0.950391251560197,0.32196587961574435,-0.5338302354744315,-0.9729820008502448
38,39,38,39,0.9660315374872789,0.965965445395966,0.2608604476764653,-0.9729820008502448,-0.8310957454687676
39,40,39,40,0.9678586185454512,0.9680040565327874,0.2522811239947856,-0.8310957454687676,-0.6474348102973932
40,41,40,41,0.9545556107535123,0.9543331969620459,0.3012156665898373,-0.6474348102973932,-0.7651738112627946
41,42,41,42,0.9593291093074314,0.9591781881117646,0.28541627054039853,-0.7651738112627946,-0.8279364978239734
42,43,42,43,0.9603724295727951,0.9601893758467546,0.28588223856508577,-0.8279364978239734,-0.8862231023117582
43,44,43,44,0.9598061889781285,0.9602286073247553,0.2810666161490742,-0.8862231023117582,-0.9447092545915048
44,45,44,45,0.9634124035278993,0.9633833715427024,0.2707935945410037,-0.9447092545915048,-0.5497766490652909
45,46,45,46,0.9695308147296312,0.9699542251249003,0.24534067841073684,-0.5497766490652909,-0.6358843837999526
46,47,46,47,0.954284333998569,0.9548955891791119,0.30627818967975395,-0.6358843837999526,-0.9153585768628267
47,48,47,48,0.956024439293195,0.9562748780784299,0.2961447198288691,-0.9153585768628267,-0.8537331322007367
48,49,48,49,0.957409391536784,0.9572256597298059,0.2938962179712533,-0.8537331322007367,-0.7545627317217551
49,50,49,50,0.9636303725267986,0.9641345184844532,0.2672387053621996,-0.7545627317217551,-0.43468081477887344
