config,epoch,score_10,response_norm,score_11,std_11,mse,grad_norm,score_00,std_01,std_00,min_margin,score_01,accuracy,std_10,param_delta
metro_oldrecipe_pattern_clamp,0,-0.25,0.0,-0.53125,0.125,1.086181640625,0.0,0.0,0.4472135954999579,0.5163977794943222,0.0,-0.25,0.5,0.4472135954999579,0.0
metro_oldrecipe_pattern_clamp,1,-0.1875,0.4974073642281361,-0.4375,0.1707825127659933,0.822265625,2.4631066828803823,-0.25,0.5163977794943222,0.4472135954999579,0.0,0.0,0.5,0.47871355387816905,0.04873396826401627
metro_oldrecipe_pattern_clamp,100,-0.125,0.14807422841831425,-0.75,0.2581988897471611,1.026611328125,0.3983608994994363,-0.15625,0.25,0.625,0.125,-0.4375,0.5,0.6708203932499369,1.019026767376925
metro_oldrecipe_pattern_clamp,200,0.15625,0.10264026743717698,-0.75,0.6831300510639732,0.85888671875,1.5819106821341085,-0.03125,0.4031128874149275,0.7180703308172536,0.03125,-0.3125,0.75,0.7685213074469699,1.3335509862233659
metro_oldrecipe_pattern_clamp,300,-0.03125,0.06214085897554882,-0.96875,0.125,0.97412109375,0.6720566614877053,-0.125,0.25,0.6708203932499369,0.03125,-0.4375,0.5,0.7180703308172536,1.6380477901755166
metro_oldrecipe_pattern_clamp,400,0.46875,0.03608439182435161,-0.75,0.6831300510639732,0.97412109375,0.0,0.21875,0.25,0.7520804478245662,0.21875,-0.4375,0.5,0.8260094833999587,1.859174546881477
metro_oldrecipe_pattern_clamp,500,0.15625,0.0,-1.0,0.0,0.94970703125,0.0,0.09375,0.3415650255319866,0.71224410609472,0.09375,-0.375,0.5,0.7685213074469699,1.9097070284330455
metro_oldrecipe_pattern_clamp,600,0.28125,0.06975158773652741,-0.875,0.5,0.89794921875,1.4019030035098718,0.15625,0.4031128874149275,0.7685213074469699,0.15625,-0.3125,0.5,0.8557404201430868,2.042527921262391
metro_oldrecipe_pattern_clamp,700,0.3125,0.0,-0.71875,0.5153882032022076,1.131103515625,0.0,0.3125,0.0,0.75,0.3125,-0.5,0.5,0.8139410298049853,2.136241742250755
metro_oldrecipe_pattern_clamp,800,0.34375,0.0,-0.65625,0.5072392597844401,0.998779296875,0.0,0.09375,0.0,0.71224410609472,0.09375,-0.5,0.5,0.7685213074469699,2.201512457563304
metro_oldrecipe_pattern_clamp,900,0.625,0.02551551815399144,-0.65625,0.6762334409556116,0.909423828125,0.9882117688026185,0.0625,0.0,0.75,0.0625,-0.5,0.5,0.6708203932499369,2.385792974725459
metro_oldrecipe_pattern_clamp,1000,0.53125,0.0,-1.0,0.0,0.95166015625,0.0,0.15625,0.0,0.7685213074469699,0.15625,-0.5,0.5,0.7180703308172536,2.402799966683269
