timestamp,epoch,seconds,train_accuracy,train_loss,test_accuracy,test_loss,pred_counts,w_norm,b_norm,w_input_norm,grad_w_norm,grad_b_norm,grad_w_input_norm,effective_w_decay,effective_w_input_decay,symmetry_error,grad_symmetry_error,best_accuracy,best_path,final_path
2026-06-09T21:26:08,0,0.0,0.065,74.929794,0.079,73.823975,31-175-85-66-93-48-76-226-90-110,0.48583895,0.0,1.5314544,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.079,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_target_weight_grid_20260609\b0p010_lr0p0005_T0p00005_wd0p001_step0p5_pos9p0_neg0p25_priortrue_adaptivefalse\best_checkpoint.bin,
2026-06-09T21:28:05,1,112.2254044,0.167,67.367645,0.179,67.44512,0-73-0-471-0-0-0-0-456-0,0.609512,0.045154803,1.76169,15.810661,1.8701993,4.656404,0.001,0.001,0.0,0.0,0.179,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_target_weight_grid_20260609\b0p010_lr0p0005_T0p00005_wd0p001_step0p5_pos9p0_neg0p25_priortrue_adaptivefalse\best_checkpoint.bin,
2026-06-09T21:28:09,2,0.9979751,0.147,67.81506,0.15,67.80396,0-49-0-448-0-0-0-0-503-0,0.609558,0.045222223,1.7648876,14.258924,1.8165046,7.966678,0.001,0.001,0.0,0.0,0.179,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_target_weight_grid_20260609\b0p010_lr0p0005_T0p00005_wd0p001_step0p5_pos9p0_neg0p25_priortrue_adaptivefalse\best_checkpoint.bin,
