column,graph_kind,mean_abs_response,mean_response,nn,repeat,source_case,sweep,target_case
3,initial,0.08144286681944471,-0.040528899106020456,1,1,1,6,2
4,initial,0.20533075797188322,0.044931673366105235,1,1,1,6,2
5,initial,0.1415757575501434,0.0037188798929848194,1,1,1,6,2
6,initial,0.20486138622117106,-0.0626506801295624,1,1,1,6,2
7,initial,0.13692233227461048,0.09306178383779706,1,1,1,6,2
8,initial,0.20610256510854236,0.02776159008023283,1,1,1,6,2
1,initial,0.13201988030328976,-0.09900966810361683,1,1,1,7,2
2,initial,0.12784893842614023,0.027999799157977227,1,1,1,7,2
3,initial,0.1272579424375262,-0.05206752821138041,1,1,1,7,2
4,initial,0.18060887730315106,0.0714365675883441,1,1,1,7,2
5,initial,0.18141573074298978,-0.029300445550944784,1,1,1,7,2
6,initial,0.24551790342134605,-0.06469330713784738,1,1,1,7,2
7,initial,0.17956341423131802,0.09118821164462586,1,1,1,7,2
8,initial,0.184956401138988,-0.004150172442581132,1,1,1,7,2
1,initial,0.11369603753138102,-0.09307339828953401,1,1,1,8,2
2,initial,0.13616742775703827,0.07917897047888638,1,1,1,8,2
3,initial,0.08819806017335108,-0.039351095669415026,1,1,1,8,2
4,initial,0.17549673444548286,0.03238917444866367,1,1,1,8,2
5,initial,0.18334163266478984,-0.018228648340830822,1,1,1,8,2
6,initial,0.2918008119454275,-0.04083061644554332,1,1,1,8,2
7,initial,0.1293539901997149,0.0021350344526161746,1,1,1,8,2
8,initial,0.1847970881635813,0.0009540788978609424,1,1,1,8,2
1,initial,0.19408342012235286,-0.1517053939282823,1,1,1,9,2
2,initial,0.18702722079993583,0.1175781875353241,1,1,1,9,2
3,initial,0.1397593762453936,-0.07649568036286822,1,1,1,9,2
4,initial,0.1732652847081716,-0.015394282425725492,1,1,1,9,2
5,initial,0.21202442517989667,-0.09287394419375532,1,1,1,9,2
6,initial,0.23906633556313622,-0.040191489920003716,1,1,1,9,2
7,initial,0.10685875836297701,-0.01100292837768876,1,1,1,9,2
8,initial,0.1545880382518009,0.04807799704786109,1,1,1,9,2
1,initial,0.15361472636880757,-0.08484624159129231,1,1,1,10,2
2,initial,0.17581494464868083,0.15610730436762082,1,1,1,10,2
3,initial,0.17143661490560394,-0.09794128829959861,1,1,1,10,2
4,initial,0.176323288649201,-0.013020197278856227,1,1,1,10,2
5,initial,0.26160550159827056,-0.09995093939698621,1,1,1,10,2
6,initial,0.2573570627129068,-0.01754279027851334,1,1,1,10,2
7,initial,0.15465169488785602,0.005939609238655778,1,1,1,10,2
