accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,response_norm,std_1,std_2,std_3,std_4
0.5,0,0.0,0.5337160818479123,-0.7909884823039339,-0.8809505380996351,0.5337160818479123,0.6271173519970217,1.6116480777009956,0.0,0.456097026415884,0.10495952171804447,0.7187026252061639,0.6204851071348729
0.5,1,0.2604801116557659,0.5886287022861216,-0.8736403958399594,-0.8033727396843928,0.6042854975360746,0.5886287022861216,1.4871127772469586,0.5136001316495867,0.1380436532716425,0.33648050264086976,0.624393659936259,0.6172739711282115
0.5,100,0.08033224398071544,0.057821479150018465,-0.2950130630196375,-0.057821479150018465,0.3994477196001596,0.807898981115747,1.3112886576192229,0.6832257750332453,0.7863422931682877,0.8824089234644984,0.7178760956239874,0.02749240563137739
0.75,200,0.06301697470177539,0.1511252970092864,-0.281295955209226,0.1511252970092864,0.3597965557295641,0.7495828524414474,1.177006093247268,0.5764535990072053,0.723413627059871,0.8325557651414346,0.6600165782415459,0.01492558237032982
0.75,300,0.06734717702790795,0.15904089006581895,-0.44580668337650203,0.15904089006581895,0.3425196294135567,0.7257822736582653,1.1062368376377554,0.4707122221088143,0.5688726643669125,0.8135390810366031,0.6397181234298148,0.012114541063718613
0.75,400,0.09185270302694953,0.24153961633460702,-0.7243129834600073,0.24153961633460702,0.31867606858048847,0.7336011884742613,1.030210216220722,0.5747201683404547,0.015402324152441312,0.8137579365648677,0.6634909411859474,0.016321190425268296
0.75,500,0.08752759208486374,0.24838854744567104,-0.7316877388043276,0.24838854744567104,0.41677183722669825,0.7391835583470344,1.0004564461488343,0.45157309833176107,0.017300594688854205,0.8281933106483231,0.6183661055196072,0.020986864395092793
0.75,600,0.03742458133057168,0.14209304497822958,-0.7257520760112992,0.14209304497822958,0.7172492634676135,0.7622243536071609,0.9991497296856553,0.38254128181235914,0.012973458523607347,0.8611061302089092,0.010486145107754011,0.018686757388283688
0.75,700,0.07624568166670591,0.2431317588627042,-0.7292235742472307,0.2431317588627042,0.7238489963585226,0.7721130180470531,0.965703333182435,0.3715851297260665,0.015919786137821978,0.8442111785704113,0.012709628264262684,0.01751946614609021
0.75,800,0.06211025400614745,0.15789450765222127,-0.7027296422431815,0.15789450765222127,0.7273320944022791,0.7657382000545903,0.9974226259295584,0.4175054655657518,0.01615759175883444,0.8300979622188036,0.01361421846789763,0.02943002690492779
0.5,900,0.09286615447945286,0.015042614363698519,-0.68802634493569,-0.015042614363698519,0.7035018966980495,0.5291377855725108,0.8884531407389332,0.4875735196563436,0.016532005739475285,0.8017416334815869,0.01327568124235017,0.3415375530918981
0.75,1000,0.09902763168611987,0.07521043424144977,-0.6576820449019342,0.07521043424144977,0.699265561345146,0.09653205281046434,0.5663102671880476,0.41963830541560565,0.017814719298217728,0.816722217261633,0.01836563972467504,0.7088840307528681
1.0,1100,0.10063376969999545,0.06533700017523195,-0.6246969480858897,0.1822159594301891,0.6826950451055966,-0.06533700017523195,0.44597511885717633,0.37998288297934363,0.021219900785599086,0.7801571868765718,0.023415772124417353,0.7652578801136508
1.0,1200,0.07327254126221854,0.08734558860424696,-0.6000703301703225,0.08734558860424696,0.6830388549617785,-0.28622999826093987,0.40070344957418047,0.4089296944636858,0.02727844435717555,0.7751066178795726,0.01673186375173712,0.7474739426063229
1.0,1300,0.11280158517443359,0.06766423305666096,-0.5591256409897877,0.06766423305666096,0.6676699310866774,-0.4932560275130547,0.35771322777756837,0.3767282575870153,0.033104173483427604,0.7897837887699729,0.014343390787422947,0.6290006986199725
1.0,1400,0.10957738509835524,0.31945041941451313,-0.5530667076309769,0.31945041941451313,0.6518563545827346,-0.6660020375643354,0.2239139340546238,0.42390495415391793,0.02314887511999547,0.6765688166238241,0.016757764066124926,0.41155944791384336
1.0,1500,0.06933143745718164,0.4859921651920909,-0.547782897323486,0.4859921651920909,0.6489162305478506,-0.6458726109057028,0.17934259576913236,0.361079745311672,0.026978977771052903,0.5892299672673714,0.022720713464013505,0.35141169780605214
1.0,1600,0.08090730245578213,0.5689645927983843,-0.5689645927983843,0.6855587290984612,0.6567300678652404,-0.7395786156410739,0.11757959471171492,0.3095814726215341,0.03426029176878612,0.3406027409811978,0.021431505551498923,0.05266003856257638
