config,radius,periodic,hidden_side,best_mse,best_accuracy,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,run_dir
h8_r1_open,1,false,8,0.92274,1.0,20,0.0044597983,20,20,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_pattern_grid_h8h16_r1to10_rep128_e60\h8_r1_open
h8_r2_open,2,false,8,0.8804027,1.0,60,0.045640826,60,60,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_pattern_grid_h8h16_r1to10_rep128_e60\h8_r2_open
h8_r3_open,3,false,8,0.956233,0.5,20,-0.007974386,40,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_pattern_grid_h8h16_r1to10_rep128_e60\h8_r3_open
h8_r4_open,4,false,8,0.9419738,0.75,30,-0.029308915,20,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_pattern_grid_h8h16_r1to10_rep128_e60\h8_r4_open
h8_r5_open,5,false,8,0.9541132,0.75,40,-0.042986274,40,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_pattern_grid_h8h16_r1to10_rep128_e60\h8_r5_open
h8_r6_open,6,false,8,0.8973758,1.0,20,0.010351241,20,20,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_pattern_grid_h8h16_r1to10_rep128_e60\h8_r6_open
h8_r7_open,7,false,8,0.90359473,1.0,20,0.036789596,20,10,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_pattern_grid_h8h16_r1to10_rep128_e60\h8_r7_open
h8_r8_open,8,false,8,0.945138,0.5,0,-0.00073593855,40,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_pattern_grid_h8h16_r1to10_rep128_e60\h8_r8_open
h8_r9_open,9,false,8,0.99108875,0.5,50,-0.03146261,40,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_pattern_grid_h8h16_r1to10_rep128_e60\h8_r9_open
h8_r10_open,10,false,8,0.9434968,1.0,40,0.010029197,40,40,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_pattern_grid_h8h16_r1to10_rep128_e60\h8_r10_open
h16_r1_open,1,false,16,0.9528335,0.5,40,-0.028499007,60,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_pattern_grid_h8h16_r1to10_rep128_e60\h16_r1_open
h16_r2_open,2,false,16,0.95148057,1.0,10,0.01227808,10,10,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_pattern_grid_h8h16_r1to10_rep128_e60\h16_r2_open
h16_r3_open,3,false,16,1.0038292,0.75,30,-0.052591443,50,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_pattern_grid_h8h16_r1to10_rep128_e60\h16_r3_open
h16_r4_open,4,false,16,0.90688,1.0,40,0.01078707,40,40,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_pattern_grid_h8h16_r1to10_rep128_e60\h16_r4_open
h16_r5_open,5,false,16,0.85786444,1.0,60,0.0455876,60,60,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_pattern_grid_h8h16_r1to10_rep128_e60\h16_r5_open
h16_r6_open,6,false,16,0.8897387,0.75,20,-0.005468607,40,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_pattern_grid_h8h16_r1to10_rep128_e60\h16_r6_open
h16_r7_open,7,false,16,0.9068082,0.75,30,-0.0033472776,30,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_pattern_grid_h8h16_r1to10_rep128_e60\h16_r7_open
h16_r8_open,8,false,16,0.94188994,0.5,10,-0.0029929876,30,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_pattern_grid_h8h16_r1to10_rep128_e60\h16_r8_open
h16_r9_open,9,false,16,0.9404512,1.0,60,0.00069761276,60,60,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_pattern_grid_h8h16_r1to10_rep128_e60\h16_r9_open
h16_r10_open,10,false,16,0.9541071,0.75,30,-0.017710686,30,-1,ext/IsingLearning/experiments/XOR/runs/local_checkerboard_pattern_grid_h8h16_r1to10_rep128_e60\h16_r10_open
