accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,std_1,std_2,std_3,std_4
0.5,0,0.0,0.16362261802233988,-0.9065158860163431,-0.9903088735821509,0.6765777318681784,0.16362261802233988,1.3571720631309638,0.4021497330584418,0.008157390021214489,0.7160421854144896,0.9984926263381831
0.75,300,0.391881421558265,0.057530482009375945,-0.2716731813813503,0.6079034849079225,-0.057530482009375945,-0.3082987641723543,0.5702552379727477,0.6356554641813095,0.4666526237475967,0.4935147231278295,0.5446369347022922
0.75,600,0.3886678799183358,0.07023032413832497,-0.12343634329608173,0.6236614565750652,-0.07023032413832497,-0.5435360878750232,0.5659366983247522,0.6440728236108914,0.48870289920330257,0.5328537378001561,0.4139158335149573
0.75,900,0.39891200247629366,0.1951421238347342,-0.1951421238347342,0.8204984183581011,-0.24290159396235644,-0.556242903225742,0.6054354379622225,0.6463199237978094,0.28558503309684613,0.5336640033436769,0.42662592382633074
0.5,1200,0.3933861666276894,0.1464920869394618,0.15518355211913362,0.6209077297867922,-0.1464920869394618,-0.619156921931235,0.7344113859874192,0.5973104510025208,0.4673819715206861,0.5950014911905483,0.40136572845834984
0.75,1500,0.39730382680591947,0.060097146991953614,0.060097146991953614,0.773404460643279,0.7735773951263006,-0.923759807423204,0.30805781561969525,0.8210235006752051,0.33915976058990377,0.3418103151243363,0.15586549467725044
1.0,1800,0.39488761058007626,0.3440870120603905,-0.3440870120603905,0.9806783193065779,0.5598180291121425,-0.4868496461286776,0.22191965706641673,0.5943829791363273,0.025973597227296755,0.42110475860233737,0.47663167182015687
1.0,2100,0.39606941941551094,0.2738383634384907,-0.2738383634384907,0.863602347212573,0.8004155829273328,-0.8121773298129735,0.15525658426850747,0.6352886768995444,0.23178080614580635,0.28700392125993196,0.28060407443207924
1.0,2400,0.40465435492654434,0.20403028545424542,-0.27327044794187766,0.8819551225472012,0.20403028545424542,-0.8769251606171587,0.2976964093726519,0.5578363553170115,0.22037892559188785,0.588067848965355,0.2409563788434675
1.0,2700,0.006294850927801844,0.524885965118203,-0.8267111540289532,0.7695901554113099,0.524885965118203,-0.9169217794469402,0.07893826437332145,0.5602327366447174,0.6035899462274259,0.8281769113358551,0.358340270693991
1.0,3000,0.006958678862679662,0.44441643603615444,-0.7927983260763504,0.7448098597608266,0.44441643603615444,-0.8227567582308418,0.11203570116291506,0.5744354831631817,0.6709096344692922,0.8844796620288352,0.5582216558626848
1.0,3300,0.008597266275693707,0.5768169781279305,-0.7420404646367679,0.7425890165990895,0.5768169781279305,-0.9881382270767961,0.07800702697947412,0.6702359513329869,0.6689474071729913,0.8187646473630656,0.0078031646758497724
1.0,3600,0.008270591926642668,0.5770953175363328,-0.7420032113719225,0.8277234529064778,0.5770953175363328,-0.7409460777976108,0.08554971416975105,0.6671847609597277,0.5544191340408816,0.8226432461586999,0.6700886869151381
1.0,3900,0.010243279587723855,0.5788022584432169,-0.6604416624043531,0.8262217043582579,0.5788022584432169,-0.7458488742196442,0.09687477322370623,0.7558143993772806,0.5584035509939279,0.8227101147450603,0.6660900384168871
1.0,4200,0.009177877368438841,0.5776172543964903,-0.7453165034367583,0.8261656260277067,0.5776172543964903,-0.7141761466550324,0.08879613298013567,0.6596578727895803,0.5601206311388484,0.8185608855003095,0.6735720648463861
1.0,4500,0.010508241932608249,0.7408684099150268,-0.7408684099150268,0.8300526679317094,0.9390403375799062,-0.7631833564512344,0.038957369940292835,0.670390839352527,0.5424938592991727,0.24565976558451263,0.6115818501820769
1.0,4800,0.010365701935069962,0.574342225453116,-0.6621285410886262,0.8242708879243169,0.574342225453116,-0.7421749669400808,0.09817403307059064,0.754832938936821,0.5588536128468694,0.8203494577301369,0.6682304319550346
1.0,4801,0.0,0.7415055685649704,-0.7415055685649704,0.9096724796030805,0.9892212902332492,-0.81465624021753,0.027361730474628226,0.6677800886501826,0.40414740227896445,0.007718487835523862,0.559332004762242
