mode,post_sweeps,noise_factor,noise_scale,draws,accuracy,mean_reward,mean_seconds,mean_energy_delta,mean_distance_from_base,mean_distance_from_previous,unique_signatures,unique_fraction
base,2.0,1.0,0.03162278,20,0.1,-2.34509699344635,0.05034449999999997,-0.34243205562233925,0.034999999999999996,0.034999999999999996,20,1.0
chain,2.0,1.0,0.03162278,20,0.1,-2.3288522899150848,6.89e-5,-0.8184934616088867,0.07250000000000001,0.04499999999999999,20,1.0
