config_id,sample_idx,stepsize,beta,phase,steps,sweeps,free_loss,plus_loss,minus_loss,plus_loss_delta,minus_loss_delta,plus_target_dot,minus_target_dot,plusminus_target_dot,plus_target_cos,minus_target_cos,plusminus_target_cos,plus_output_rms,minus_output_rms,plusminus_output_rms,plus_hidden_rms,minus_hidden_rms,plusminus_hidden_rms
1,1,0.05,0.1,nudged,3200,20.0,22.861465,18.963108,25.303007,-3.8983574,2.4415417,2.0835462,-1.1454765,3.2290227,0.84059876,-0.61735785,0.87253773,0.08196574,0.061357435,0.122378424,0.039167874,0.04954821,0.050846253
1,1,0.05,0.1,nudged,8000,50.0,22.861465,16.379704,27.758268,-6.481762,4.896803,3.7046049,-2.0758255,5.78043,0.8045361,-0.50294113,0.83456844,0.15226999,0.13648711,0.22904253,0.07155033,0.07984336,0.05826584
1,1,0.05,0.1,nudged,16000,100.0,22.861465,12.410244,32.7915,-10.451221,9.930035,6.486136,-3.4676044,9.953741,0.8543646,-0.41907537,0.7919477,0.25105032,0.27362475,0.41563085,0.11921931,0.13456973,0.080840215
1,1,0.05,0.1,nudged,32000,200.0,22.861465,8.986925,38.893875,-13.87454,16.03241,10.125379,-4.2843795,14.409759,0.8386442,-0.32798982,0.7653429,0.39925605,0.431962,0.6226136,0.20025824,0.21060887,0.12861873
1,1,0.05,0.1,nudged,48000,300.0,22.861465,7.250885,40.22918,-15.61058,17.367714,12.722961,-4.2664757,16.989437,0.84847975,-0.3002064,0.7776656,0.49586645,0.46996695,0.7224438,0.26796862,0.27634254,0.1610335
1,2,0.05,0.1,nudged,3200,20.0,23.0995,20.980104,25.534702,-2.1193962,2.4352016,1.1199052,-1.120825,2.2407305,0.6714791,-0.5300739,0.7524539,0.054867793,0.06956169,0.0979667,0.035901695,0.037766952,0.032895595
1,2,0.05,0.1,nudged,8000,50.0,23.0995,19.130829,27.487923,-3.9686718,4.388422,2.2351873,-1.824474,4.0596614,0.6565816,-0.44144312,0.68226933,0.1119938,0.13596642,0.19575042,0.0770519,0.08677875,0.051371805
1,2,0.05,0.1,nudged,16000,100.0,23.0995,15.7367525,31.12157,-7.362748,8.02207,4.475268,-2.8114262,7.286694,0.73896027,-0.37765074,0.7022691,0.19923547,0.24490917,0.3413467,0.12346647,0.13879809,0.064313345
1,2,0.05,0.1,nudged,32000,200.0,23.0995,11.442597,34.524063,-11.656903,11.424562,8.164407,-3.1328073,11.2972145,0.7859155,-0.28698003,0.7233453,0.3417571,0.35912922,0.5138004,0.21632777,0.21683685,0.09224624
1,2,0.05,0.1,nudged,48000,300.0,23.0995,9.69419,36.194256,-13.405311,13.094755,10.288881,-2.9407995,13.22968,0.79934263,-0.22782506,0.75733846,0.42345172,0.4246515,0.5746826,0.25750777,0.26187417,0.119667895
1,3,0.05,0.1,nudged,3200,20.0,24.687675,22.355505,26.8221,-2.3321705,2.1344242,1.2518483,-1.004916,2.2567642,0.60833937,-0.57298267,0.7067979,0.06548408,0.05581079,0.10160635,0.044210583,0.0398715,0.034900382
1,3,0.05,0.1,nudged,8000,50.0,24.687675,18.99442,28.981388,-5.6932564,4.2937126,3.3156078,-1.8518986,5.167506,0.6890181,-0.48526853,0.76835215,0.15313077,0.1214409,0.21401815,0.084301144,0.07473064,0.04969997
1,3,0.05,0.1,nudged,16000,100.0,24.687675,15.468411,33.06658,-9.219264,8.378906,5.8822484,-3.134622,9.0168705,0.7420609,-0.43434882,0.7507157,0.25225148,0.22965528,0.38221726,0.1476317,0.11829912,0.07863985
1,3,0.05,0.1,nudged,32000,200.0,24.687675,13.364545,34.909603,-11.323131,10.221928,9.30269,-3.3979006,12.700591,0.6938021,-0.36946136,0.70582765,0.4266805,0.2926655,0.572605,0.22288953,0.20240274,0.12385314
1,3,0.05,0.1,nudged,48000,300.0,24.687675,12.74455,36.051666,-11.943126,11.363991,11.220128,-3.5694544,14.789583,0.69698334,-0.34949738,0.6994086,0.51227754,0.32500336,0.67290676,0.27843922,0.27348375,0.14431703
1,4,0.05,0.1,nudged,3200,20.0,23.983986,21.707449,26.30914,-2.276537,2.3251534,1.2216141,-1.06593,2.2875443,0.6109682,-0.49506652,0.6981617,0.064554244,0.06951435,0.1057847,0.03367769,0.03788589,0.034292493
1,4,0.05,0.1,nudged,8000,50.0,23.983986,19.159004,28.36398,-4.8249817,4.3799934,2.7429256,-1.7972783,4.5402036,0.6889644,-0.4140947,0.6966506,0.12853654,0.14012802,0.21041156,0.060710523,0.0674599,0.0456041
1,4,0.05,0.1,nudged,16000,100.0,23.983986,15.646949,31.479832,-8.337037,7.495846,5.206014,-2.5832686,7.789283,0.73796684,-0.34561756,0.6977671,0.2277602,0.24131432,0.3604096,0.09505612,0.10271174,0.062313944
1,4,0.05,0.1,nudged,32000,200.0,23.983986,12.625517,37.45237,-11.358469,13.468384,8.035047,-3.4544976,11.489544,0.755862,-0.2754182,0.65279895,0.34320626,0.4049502,0.5682412,0.15678042,0.16512352,0.09535224
1,4,0.05,0.1,nudged,48000,300.0,23.983986,12.404073,39.933933,-11.579913,15.949947,9.3110075,-3.631943,12.942949,0.7164485,-0.25163272,0.6498688,0.4195861,0.46599498,0.6430088,0.20591703,0.21730988,0.12347273
