timestamp,config_id,workers,hidden,train_limit,batchsize,nbatches,relaxation,stepsize,temp,beta,lr,train_seconds,before_train_error,after_train_error,delta_train_error,before_train_mse,after_train_mse,delta_train_mse,before_val_error,after_val_error,delta_val_error,before_val_mse,after_val_mse,delta_val_mse
2026-05-19T04:15:42,1,16,7840,512,256,2,300,0.6,0.005,1.0,0.003,11.8858729,0.9296875,0.9296875,0.0,13.15457,12.854621,-0.2999487,0.875,0.890625,0.015625,13.484799,13.272634,-0.21216583
2026-05-19T04:16:10,2,16,7840,512,256,2,300,0.6,0.005,1.0,0.01,10.6840245,0.90625,0.90625,0.0,13.465858,13.570594,0.104735374,0.859375,0.9140625,0.0546875,13.568848,13.002936,-0.5659113
2026-05-19T04:16:38,3,16,7840,512,256,2,300,0.6,0.005,1.0,0.03,10.2007921,0.8359375,0.9140625,0.078125,13.052353,13.620137,0.5677843,0.90625,0.8828125,-0.0234375,13.534891,13.089883,-0.44500828
2026-05-19T04:17:05,4,16,7840,512,256,2,300,0.6,0.005,2.0,0.003,9.9213057,0.9140625,0.90625,-0.0078125,13.303327,12.927777,-0.37554932,0.90625,0.9453125,0.0390625,13.329061,13.531108,0.20204735
2026-05-19T04:17:33,5,16,7840,512,256,2,300,0.6,0.005,2.0,0.01,10.6850731,0.9296875,0.90625,-0.0234375,13.508191,13.227143,-0.28104782,0.9140625,0.9140625,0.0,13.852871,13.456992,-0.3958788
2026-05-19T04:18:01,6,16,7840,512,256,2,300,0.6,0.005,2.0,0.03,10.6611158,0.9140625,0.9140625,0.0,12.859728,13.386834,0.5271063,0.8828125,0.8984375,0.015625,13.096864,13.18322,0.08635616
2026-05-19T04:18:29,7,16,7840,512,256,2,300,0.6,0.005,4.0,0.003,10.6640351,0.921875,0.9375,0.015625,13.685587,13.308066,-0.37752056,0.90625,0.90625,0.0,13.361558,13.366092,0.0045337677
2026-05-19T04:18:57,8,16,7840,512,256,2,300,0.6,0.005,4.0,0.01,10.6591515,0.90625,0.8828125,-0.0234375,13.5764065,13.543751,-0.032655716,0.9453125,0.9140625,-0.03125,13.792558,13.368092,-0.42446613
2026-05-19T04:19:25,9,16,7840,512,256,2,300,0.6,0.005,4.0,0.03,10.6419069,0.9140625,0.90625,-0.0078125,13.505762,13.780589,0.274827,0.8828125,0.90625,0.0234375,13.49601,13.528016,0.032006264
