timestamp,config_id,hidden,epoch,seconds,relaxation,sweeps,minit,digits,target_scale,target_off,target_on,beta,lr,train_accuracy,train_mse,validation_accuracy,validation_mse
2026-05-19T05:01:11,1,512,0,0.0,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.517578125,3.7017758,0.537109375,3.698844
2026-05-19T05:01:22,1,512,1,9.4241101,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.47265625,3.3550346,0.470703125,3.357588
2026-05-19T05:01:25,1,512,2,2.7509879,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.513671875,3.3734245,0.49609375,3.4278996
2026-05-19T05:01:29,1,512,3,2.7064962,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.486328125,3.4794323,0.486328125,3.495756
2026-05-19T05:01:32,1,512,4,2.601909,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.462890625,3.3670769,0.513671875,3.4171698
2026-05-19T05:01:36,1,512,5,2.7808788,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.48046875,3.4141474,0.4765625,3.4278347
2026-05-19T05:01:39,1,512,6,2.7020434,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.494140625,3.4005587,0.50390625,3.46314
2026-05-19T05:01:43,1,512,7,2.6740628,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.537109375,3.317165,0.546875,3.3947978
2026-05-19T05:01:47,1,512,8,2.7155533,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.466796875,3.4706554,0.48828125,3.4100804
2026-05-19T05:01:50,1,512,9,2.7217621,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.513671875,3.4037566,0.5,3.4608154
2026-05-19T05:01:54,1,512,10,2.6913337,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.53125,3.4637132,0.501953125,3.413961
2026-05-19T05:01:57,1,512,11,2.7130603,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.505859375,3.3866334,0.576171875,3.3204296
2026-05-19T05:02:01,1,512,12,2.7015599,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.52734375,3.5720456,0.53515625,3.5580397
2026-05-19T05:02:04,1,512,13,2.6925713,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.521484375,3.72334,0.541015625,3.6743066
2026-05-19T05:02:08,1,512,14,2.741813,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.544921875,3.4367042,0.552734375,3.4054685
2026-05-19T05:02:11,1,512,15,2.732741,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.517578125,3.3945954,0.53125,3.3514304
2026-05-19T05:02:15,1,512,16,2.633079,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.537109375,3.3911695,0.5625,3.4891968
2026-05-19T05:02:18,1,512,17,2.7482883,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.5390625,3.4394789,0.568359375,3.3742948
2026-05-19T05:02:22,1,512,18,2.7099673,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.546875,3.4315124,0.548828125,3.3950677
2026-05-19T05:02:25,1,512,19,2.6531425,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.521484375,3.3976498,0.53515625,3.40307
2026-05-19T05:02:29,1,512,20,2.8509366,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.5546875,3.3758085,0.548828125,3.4698057
