timestamp,idx,hidden,output_replicas,seconds,nstates,nnz,min_row,max_row,working_set_mb,private_mb
2026-05-21T16:37:53,1,7840,4,2.6671621,8664,12920320,1,8664,2063.0,4742.5
2026-05-21T16:37:54,2,7840,4,0.5575181,8664,12920320,1,8664,2164.8,4840.9
2026-05-21T16:37:55,3,7840,4,0.5378719,8664,12920320,1,8664,2165.7,4841.1
2026-05-21T16:37:56,4,7840,4,0.5613877,8664,12920320,1,8664,2166.0,4841.1
2026-05-21T16:37:57,5,7840,4,0.3793965,8664,12920320,1,8664,2166.4,4841.3
2026-05-21T16:37:57,6,7840,4,0.4702429,8664,12920320,1,8664,2166.7,4841.3
2026-05-21T16:37:58,7,7840,4,0.4711394,8664,12920320,1,8664,2213.9,4888.3
2026-05-21T16:37:59,8,7840,4,0.4720362,8664,12920320,1,8664,2214.1,4888.3
2026-05-21T16:37:59,9,7840,4,0.3544451,8664,12920320,1,8664,2214.2,4888.3
2026-05-21T16:38:00,10,7840,4,0.4757473,8664,12920320,1,8664,2167.3,4841.3
2026-05-21T16:38:01,11,7840,4,0.3791551,8664,12920320,1,8664,2167.4,4841.3
2026-05-21T16:38:01,12,7840,4,0.4820874,8664,12920320,1,8664,2167.4,4841.3
2026-05-21T16:38:02,13,7840,4,0.3721385,8664,12920320,1,8664,2167.7,4841.3
2026-05-21T16:38:03,14,7840,4,0.3780301,8664,12920320,1,8664,2167.9,4841.3
2026-05-21T16:38:03,15,7840,4,0.4066727,8664,12920320,1,8664,2168.0,4841.3
2026-05-21T16:38:04,16,7840,4,0.4326904,8664,12920320,1,8664,2168.2,4841.3
2026-05-21T16:38:05,17,7840,4,0.3656783,8664,12920320,1,8664,2168.3,4841.3
2026-05-21T16:38:05,18,7840,4,0.3760238,8664,12920320,1,8664,2168.3,4841.3
2026-05-21T16:38:06,19,7840,4,0.4154005,8664,12920320,1,8664,2168.3,4841.3
2026-05-21T16:38:07,20,7840,4,0.4289706,8664,12920320,1,8664,2168.4,4841.3
2026-05-21T16:38:07,21,7840,4,0.3579788,8664,12920320,1,8664,2168.4,4841.3
2026-05-21T16:38:08,22,7840,4,0.3693914,8664,12920320,1,8664,2168.4,4841.3
2026-05-21T16:38:09,23,7840,4,0.4136772,8664,12920320,1,8664,2168.5,4841.3
2026-05-21T16:38:09,24,7840,4,0.4352142,8664,12920320,1,8664,2168.5,4841.3
2026-05-21T16:38:10,25,7840,4,0.3679827,8664,12920320,1,8664,2168.7,4841.3
2026-05-21T16:38:11,26,7840,4,0.3743592,8664,12920320,1,8664,2168.7,4841.3
2026-05-21T16:38:11,27,7840,4,0.3712409,8664,12920320,1,8664,2215.5,4888.3
2026-05-21T16:38:12,28,7840,4,0.4139986,8664,12920320,1,8664,2286.1,5029.2
2026-05-21T16:38:12,29,7840,4,0.2420112,8664,12920320,1,8664,2286.1,5029.2
2026-05-21T16:38:13,30,7840,4,0.373841,8664,12920320,1,8664,2215.6,4888.3
2026-05-21T16:38:14,31,7840,4,0.3867718,8664,12920320,1,8664,2215.7,4888.3
2026-05-21T16:38:14,32,7840,4,0.4050858,8664,12920320,1,8664,2286.2,5029.2
2026-05-21T16:38:15,33,7840,4,0.2399215,8664,12920320,1,8664,2286.2,5029.2
2026-05-21T16:38:15,34,7840,4,0.3759598,8664,12920320,1,8664,2215.8,4888.3
2026-05-21T16:38:16,35,7840,4,0.4205502,8664,12920320,1,8664,2168.9,4841.3
2026-05-21T16:38:17,36,7840,4,0.4802687,8664,12920320,1,8664,2168.9,4841.2
2026-05-21T16:38:17,37,7840,4,0.368621,8664,12920320,1,8664,2169.1,4841.2
2026-05-21T16:38:18,38,7840,4,0.3902059,8664,12920320,1,8664,2169.1,4841.2
2026-05-21T16:38:19,39,7840,4,0.4187686,8664,12920320,1,8664,2169.0,4841.3
2026-05-21T16:38:19,40,7840,4,0.4529264,8664,12920320,1,8664,2169.0,4841.2
2026-05-21T16:38:20,41,7840,4,0.381009,8664,12920320,1,8664,2169.0,4841.2
2026-05-21T16:38:21,42,7840,4,0.3867209,8664,12920320,1,8664,2169.0,4841.3
2026-05-21T16:38:21,43,7840,4,0.3833161,8664,12920320,1,8664,2215.9,4888.2
2026-05-21T16:38:22,44,7840,4,0.4507546,8664,12920320,1,8664,2286.3,5029.2
2026-05-21T16:38:23,45,7840,4,0.2546334,8664,12920320,1,8664,2286.3,5029.2
2026-05-21T16:38:23,46,7840,4,0.4128972,8664,12920320,1,8664,2215.9,4888.2
2026-05-21T16:38:24,47,7840,4,0.396457,8664,12920320,1,8664,2216.0,4888.2
2026-05-21T16:38:24,48,7840,4,0.4211876,8664,12920320,1,8664,2286.4,5029.2
2026-05-21T16:38:25,49,7840,4,0.2535533,8664,12920320,1,8664,2286.5,5029.2
2026-05-21T16:38:26,50,7840,4,0.4142474,8664,12920320,1,8664,2169.2,4841.3
2026-05-21T16:38:26,51,7840,4,0.395618,8664,12920320,1,8664,2169.1,4841.3
2026-05-21T16:38:27,52,7840,4,0.4372916,8664,12920320,1,8664,2169.3,4841.5
2026-05-21T16:38:27,53,7840,4,0.2587552,8664,12920320,1,8664,2169.2,4841.5
2026-05-21T16:38:28,54,7840,4,0.4391108,8664,12920320,1,8664,2286.6,5029.5
2026-05-21T16:38:29,55,7840,4,0.4510591,8664,12920320,1,8664,2169.4,4841.5
2026-05-21T16:38:29,56,7840,4,0.3830859,8664,12920320,1,8664,2169.4,4841.5
2026-05-21T16:38:30,57,7840,4,0.4076596,8664,12920320,1,8664,2169.4,4841.5
2026-05-21T16:38:31,58,7840,4,0.3993517,8664,12920320,1,8664,2169.4,4841.5
2026-05-21T16:38:31,59,7840,4,0.4344633,8664,12920320,1,8664,2169.5,4841.5
2026-05-21T16:38:32,60,7840,4,0.4581031,8664,12920320,1,8664,2169.6,4841.5
2026-05-21T16:38:33,61,7840,4,0.3850752,8664,12920320,1,8664,2169.6,4841.5
