front_position,graph_kind,left_edge_response,nn,output_response,repeat,right_edge_response,source_case,sweep,target_case,total_abs_hidden_response
0.0,initial,0.0,1,0.0,1,0.0,1,0,2,0.0
4.768911666967721,initial,-0.0549385166206833,1,-0.08401612742410058,1,0.0004008198606215499,1,1,2,0.6405948555125265
4.544549818030963,initial,-0.04221099542316897,1,-0.1527499642982343,1,-0.012988811276037245,1,2,2,0.8315017731474086
4.555338483166986,initial,-0.06082762316689004,1,-0.2028983460524395,1,0.012711562311948518,1,3,2,0.9881941363619775
4.551956303186777,initial,-0.09543302084307054,1,-0.030916953859677743,1,0.009411674252098864,1,4,2,1.1444988935812732
4.667134357434535,initial,-0.09282746109864248,1,-0.20831032207343836,1,0.06373938452827882,1,5,2,1.2735641370717663
4.809685365526687,initial,-0.12556688850489173,1,-0.11836956450419744,1,0.02776159008023283,1,6,2,1.2449415751896524
4.862243476627894,initial,-0.09900966810361683,1,-0.13519310820961317,1,-0.004150172442581132,1,7,2,1.359189088004749
4.915355504899121,initial,-0.09307339828953401,1,-0.213677650012983,1,0.0009540788978609424,1,8,2,1.3028517828807669
4.378923530578646,initial,-0.1517053939282823,1,-0.04392480479915739,1,0.04807799704786109,1,9,2,1.4066728592336646
4.6598022075561465,initial,-0.08484624159129231,1,-0.17455804233546846,1,0.03289590951221905,1,10,2,1.5408821951652605
4.664981891709057,initial,-0.07286113130097087,1,-0.26325228764939357,1,0.09155817424187461,1,11,2,1.7159181594764692
4.754612382152338,initial,-0.0384943387503512,1,-0.08399510263473065,1,0.07188467143982569,1,12,2,1.9191677570151329
4.786192492350593,initial,0.008506968492559067,1,-0.2597806848384644,1,0.08742453641670037,1,13,2,2.0551370604396215
4.878697335778808,initial,-0.0002793304374276856,1,-0.011671371665212926,1,0.08621079449950098,1,14,2,2.110740853401951
4.8100832287304005,initial,-0.029678183258865273,1,-0.13069913670714073,1,0.07550840338145903,1,15,2,2.1558347439984678
4.809690070267321,initial,-0.0627361539505641,1,-0.0997656302330896,1,0.09221214586937984,1,16,2,2.3101916195313206
4.601546444200273,initial,-0.11385210238441269,1,-0.24214463033156342,1,0.1196090923596505,1,17,2,2.2655038542652406
4.740290011498027,initial,-0.15980007665387508,1,-0.20282753482252847,1,0.13127539675470884,1,18,2,2.3239075231846194
4.636896932196173,initial,-0.1748598603257392,1,-0.2179597568272067,1,0.13576340189139022,1,19,2,2.393453341358619
4.6303474762260945,initial,-0.163682138991339,1,-0.08286418304818122,1,0.10871088598464915,1,20,2,2.5137235925922536
4.5785832729165445,initial,-0.2106039139883415,1,-0.1814587260751126,1,0.10358720569504774,1,21,2,2.5358285217734546
4.50641431454302,initial,-0.21618120597923307,1,-0.18463412199837037,1,0.16471216353600662,1,22,2,2.6579077619199922
4.505168418717063,initial,-0.1767368964340259,1,-0.10423001475724714,1,0.14204186440586244,1,23,2,2.692797794057838
4.521767906256858,initial,-0.17286283406007374,1,-0.24145852219235786,1,0.10778201754125827,1,24,2,2.7251730186098797
4.513680670445127,initial,-0.22234977422629063,1,-0.22497665841929348,1,0.094036451651816,1,25,2,2.6539570094278275
0.0,initial,0.0,1,0.0,2,0.0,1,0,2,0.0
4.381118863146225,initial,0.03861891108122088,1,0.05635553561694007,2,0.0556900736118776,1,1,2,0.5870626366736428
4.395510468866242,initial,0.003187557986080211,1,0.09721462381441182,2,0.04576095047865179,1,2,2,0.8004579541142647
4.571513246637237,initial,-0.04137629539651952,1,0.1222748417254107,2,0.0794690153025509,1,3,2,1.0912095025241975
4.51634425029866,initial,-0.040425474296082536,1,0.03745767293793012,2,0.13441658650189175,1,4,2,1.208624118918121
4.460076127556539,initial,-0.07660195211370598,1,0.12865350261384334,2,0.14489835170795856,1,5,2,1.5038543561123021
4.613501152193962,initial,-0.0439828736978731,1,0.035949553248663446,2,0.21813944614481,1,6,2,1.6002049156418956
4.566236002887879,initial,-0.03183555827994672,1,0.0591393247119929,2,0.24802085790965397,1,7,2,1.7525319328921447
4.633465534868614,initial,0.005965746421315678,1,0.016127963758787445,2,0.21777574446779055,1,8,2,1.8039041107799334
4.558002730227604,initial,-0.037139744268396446,1,0.02282237228207984,2,0.24500620210179375,1,9,2,1.7667168046963146
4.569775331613601,initial,-0.052133727223533544,1,0.1289316544519994,2,0.3037334662746769,1,10,2,1.8835781576378146
4.621218134836499,initial,-0.06943936305091432,1,0.09118730178731171,2,0.31366029465548845,1,11,2,1.9216959612265092
4.533125589425694,initial,-0.027006910594220362,1,0.03646074039478231,2,0.2835918472202633,1,12,2,1.9000977167717665
4.635449797711181,initial,-0.038122031022313776,1,0.12523135424238463,2,0.3019600067443185,1,13,2,2.0516298325277775
4.556528281501238,initial,-0.04443302483729569,1,0.07363502217895479,2,0.29864747070641556,1,14,2,2.1918076169231884
4.515181989733004,initial,-0.1287234277776999,1,0.00813945095395674,2,0.3317819178279483,1,15,2,2.3480850106132047
4.485517085138199,initial,-0.21164544200508667,1,0.07849686738338202,2,0.2762916757787438,1,16,2,2.295625052035767
4.242325861753631,initial,-0.20732795363719903,1,0.06451481951802718,2,0.24857744963884548,1,17,2,2.339448556833761
4.444162292049458,initial,-0.19062977445107393,1,0.01724969845751101,2,0.22442961996748267,1,18,2,2.3858193554367513
4.491919742937601,initial,-0.17338850918028387,1,0.11286332103607677,2,0.28554182694478925,1,19,2,2.3463489812749954
4.391120444330785,initial,-0.1661054042535292,1,0.010747290642072027,2,0.27506576661063714,1,20,2,2.4166453944570154
4.318938666574876,initial,-0.22083485214136167,1,0.1380929640532167,2,0.3178777381907291,1,21,2,2.565638442636662
4.322596606747708,initial,-0.25405025733193864,1,-0.0003914683641697003,2,0.3308295307938228,1,22,2,2.5379552429944905
4.246445258153764,initial,-0.2838580633877288,1,0.15221614942727468,2,0.3336561172169663,1,23,2,2.5967853535952576
4.331265753255514,initial,-0.3041374106077017,1,0.07999666436575703,2,0.365217573919349,1,24,2,2.6515908056944095
4.496081632334872,initial,-0.3106350159122275,1,0.03873048624239628,2,0.39508695788639553,1,25,2,2.617364493204617
0.0,initial,0.0,1,0.0,1,0.0,1,0,3,0.0
4.044832157184903,initial,0.0021463103523110642,1,-0.037826480135600415,1,-0.02377288330731886,1,1,3,0.6867490878462136
4.084278429660751,initial,-0.0013680257327503276,1,0.08052040049837628,1,0.02662928591539586,1,2,3,1.0172166246981598
4.044954746768143,initial,-0.011784410067733585,1,-0.04458367532671892,1,0.08924819140338387,1,3,3,1.2987454898865773
4.145105677694402,initial,-0.04022019812179329,1,0.20901506715520723,1,0.09202378810039909,1,4,3,1.5830512337236369
4.143880959064266,initial,-0.041815328780888644,1,0.11916587401694412,1,0.06786678191020783,1,5,3,1.7973284909216685
4.202260452177209,initial,-0.029207386750583278,1,0.008557043056106384,1,0.025998291885449,1,6,3,1.8846392983792082
4.0900916760693535,initial,-0.016566306629393263,1,-0.048281179138865205,1,0.019674311512227483,1,7,3,1.9664168766772856
4.101699476563023,initial,-0.05485030540705915,1,0.11177436670297125,1,-0.01165799271738037,1,8,3,2.0702019149430053
4.162718957990223,initial,-0.03671049259741683,1,0.03942050391471652,1,0.004323414154623291,1,9,3,2.1295162926516435
4.168704508220619,initial,0.013809168625800144,1,0.010936328465680156,1,-0.01826647810333988,1,10,3,2.204342819550075
4.016375384100672,initial,-0.029005269250608576,1,0.03655273249838065,1,-0.04144793785024352,1,11,3,2.3668676952485406
4.051186128298967,initial,-0.03369985083189091,1,0.02314269085774978,1,-0.031944339352072235,1,12,3,2.4927116130680695
4.121860498108352,initial,-0.07491194091756877,1,0.020135783906456983,1,-0.014936461614694793,1,13,3,2.5551718647458093
4.000319433451529,initial,-0.07869189472623245,1,0.08573128487240222,1,-0.11767026192269357,1,14,3,2.3405049658035715
4.135836618233489,initial,-0.04404758198138714,1,0.0634136204738992,1,-0.071138004687922,1,15,3,2.3753201234144967
4.238820536402682,initial,-0.07429415438238178,1,0.043633465021013174,1,-0.04676431026020167,1,16,3,2.4080749671601627
4.199589105960655,initial,-0.10201297834916226,1,0.01740339989191375,1,-0.1234166156010014,1,17,3,2.5190513892535464
4.237572564941871,initial,-0.08905424884571576,1,0.16437578176174894,1,-0.1337423168620817,1,18,3,2.4988379623149912
4.142350849372173,initial,-0.12242989739199238,1,-0.04325872938538866,1,-0.13270849799556994,1,19,3,2.48465572134762
4.021071815055452,initial,-0.10317010373676704,1,0.04725941394029054,1,-0.15016361106233148,1,20,3,2.5122627789446783
4.114711140963158,initial,-0.011231130676548233,1,0.05885724354531463,1,-0.13364009992807968,1,21,3,2.5253733071622513
4.089791370296042,initial,-0.021097287460487266,1,0.031466655275307676,1,-0.1476064276284894,1,22,3,2.495845705667633
4.0405211815249675,initial,-0.062331188907591394,1,0.07980955374659227,1,-0.09732116073824204,1,23,3,2.536806492818718
4.002939476445971,initial,-0.0538380561822406,1,0.2430229610264184,1,-0.1548580254250705,1,24,3,2.576430284065847
