accuracy,epoch,grad_norm,margin,mean_1_1,mean_1_2,mean_2_1,mean_2_2,mean_3_1,mean_3_2,mean_4_1,mean_4_2,mse,response_norm,route,std_1,std_2,std_3,std_4
0.5,0,0.0,0.09879032856070483,0.49484170092293106,-0.3529445257833405,-0.29348451234364326,-0.19469418378293843,0.4384755704717021,-0.03701263100524229,-0.4719920058999782,0.36067488760382727,1.2203909749750872,0.0,normal,0.544389897484964,0.6388342186683259,0.6469393559451291,0.535617834508605
0.5,1,0.6234371595792039,0.01911428675291771,0.5320409982610813,-0.4236400983897864,-0.4888898654791596,-0.46977557872624187,0.4688118235388292,-0.037598101527318316,-0.3256580885827016,0.5709128598656465,1.3039755949123941,0.5897457827912636,normal,0.5668029699941518,0.5499014341901569,0.6583329534424648,0.5710335644889415
0.25,120,0.5233449595241213,0.22793735324122605,0.1851910749978135,-0.21289977493898196,0.09449621978158816,-0.2033169879129243,0.23004321588424406,0.0021058626430180277,-0.5053790377865793,0.3306673062004691,1.3093718308228364,0.5851430640200717,normal,0.7043746611442028,0.7315203710376946,0.7053844871002254,0.6383171658568352
0.5,240,0.488407136247305,0.20053288922939266,0.2591384374571993,-0.14565497334003255,0.3491806003858829,-0.25627652486333957,-0.15980198635077572,0.20197401498679535,-0.1506071995756967,0.04992568965369595,1.0557899169023646,0.578163414909456,normal,0.7138103260655847,0.6851207402701438,0.7340107552671764,0.7584950313865525
0.25,360,0.39925264283014994,0.05731856317562227,0.26591615916979416,-0.14614856370252063,0.02598556654534633,-0.031332996630275944,0.15724955865884063,-0.06567063192538393,-0.1721329179999563,0.2316172362914403,1.0937365655358302,0.5392624391913151,normal,0.7534317640621144,0.7787480557903159,0.7347981036619761,0.7318974880562972
0.75,480,0.4616844996070565,0.21828442207221366,0.5468712545488863,-0.3210146018652213,-0.17684987309608577,0.05271778115083672,-0.2318604601056099,0.14838548956104844,-0.08373905210864892,0.13454536996356473,0.7522794651393154,0.48863591183999217,normal,0.6407955167644241,0.8142170286820997,0.7381840915837421,0.7749281607804201
1.0,600,0.5754220142538077,0.09896120642535705,0.42981518127038915,-0.46009637563199607,-0.05717965383328272,0.04178155259207434,-0.2916382066660329,0.2804845742986785,0.11177141676313428,-0.1337606562155182,0.6228123680113522,0.46853531893201117,normal,0.6502628872052292,0.799497752672295,0.7219789458940223,0.7752534924957211
0.75,720,0.4820599755793936,0.040744626969373164,0.39801963267149737,-0.3309186193980986,-0.3972975356034467,0.41599967942677646,-0.38841332196382566,0.45530069062557654,-0.039299741227458725,0.0014448857419144395,0.5335160381518509,0.485712044057246,normal,0.6457934640505769,0.6692587517727028,0.6484690719079127,0.7484153362995749
1.0,840,0.41701537131589095,0.04483974288833933,0.6557527851532782,-0.6341617225456668,-0.19158632700940137,0.06122897042285391,-0.3673147052666132,0.27337494486411046,-0.01663558614088617,-0.0614753290292255,0.5787273285979869,0.41947640014486226,normal,0.46233979617683746,0.7903210184438837,0.7005870984321484,0.7651017708142128
0.75,960,0.3608609269871525,0.3178131875787937,0.4883194181730038,-0.3844414949171187,-0.2659895309392948,0.2841931103991786,-0.5792931090451156,0.5703496186979884,-0.15357026872158316,0.1642429188572105,0.5924574800158544,0.37575779504389656,normal,0.6430027883611356,0.7374254097631108,0.4739223459692195,0.8063524108321223
0.75,1080,0.31680136157019384,0.14450899603266382,0.5930058986784252,-0.6152977263417896,-0.05297291533493875,0.09153608069772506,-0.5634475203025519,0.5466776447476284,-0.12100044151074109,0.08345873777021255,0.6078013851563819,0.3898637300244315,normal,0.5244286738911199,0.808650836092154,0.5167594523474862,0.8083418502651607
1.0,1200,0.3212696807960692,0.3903961027969957,0.48373684522736976,-0.599758248175851,-0.3429822142978208,0.3271013318527766,-0.36019406328560627,0.25682393777615103,0.21241282905246725,-0.17798327374452846,0.44610667992559805,0.4260167476681907,normal,0.5363641321614354,0.705026270521009,0.7074629367767495,0.7158348573414591
