timestamp,config_id,hidden,epoch,seconds,relaxation,sweeps,minit,target_scale,target_off,target_on,beta,lr,train_accuracy,train_mse,validation_accuracy,validation_mse
2026-05-19T04:47:54,1,512,0,0.0,1044,2.0,2,0.2,0.0,0.5,0.1,0.003,0.12109375,3.5753999,0.1005859375,3.5375185
2026-05-19T04:48:09,1,512,1,13.0590481,1044,2.0,2,0.2,0.0,0.5,0.1,0.003,0.10546875,3.6011813,0.0947265625,3.6323419
2026-05-19T04:48:17,1,512,2,5.5250436,1044,2.0,2,0.2,0.0,0.5,0.1,0.003,0.11328125,3.689396,0.0947265625,3.720051
2026-05-19T04:48:24,1,512,3,5.585719,1044,2.0,2,0.2,0.0,0.5,0.1,0.003,0.1044921875,3.746496,0.08984375,3.8386843
2026-05-19T04:48:31,1,512,4,5.5066977,1044,2.0,2,0.2,0.0,0.5,0.1,0.003,0.109375,3.877063,0.0927734375,3.8810925
2026-05-19T04:48:38,1,512,5,5.462557,1044,2.0,2,0.2,0.0,0.5,0.1,0.003,0.0927734375,3.877793,0.1123046875,3.8512242
2026-05-19T04:48:45,1,512,6,5.5323498,1044,2.0,2,0.2,0.0,0.5,0.1,0.003,0.1005859375,4.0536594,0.099609375,4.0756083
2026-05-19T04:48:52,1,512,7,5.4672776,1044,2.0,2,0.2,0.0,0.5,0.1,0.003,0.09375,3.9767163,0.109375,3.9281087
2026-05-19T04:49:00,1,512,8,5.5749442,1044,2.0,2,0.2,0.0,0.5,0.1,0.003,0.0986328125,3.9381485,0.1162109375,4.044156
2026-05-19T04:49:07,1,512,9,5.631477,1044,2.0,2,0.2,0.0,0.5,0.1,0.003,0.103515625,3.9247994,0.1015625,3.8794134
2026-05-19T04:49:14,1,512,10,5.3998554,1044,2.0,2,0.2,0.0,0.5,0.1,0.003,0.1142578125,3.974495,0.115234375,3.9530427
