accuracy,epoch,grad_norm,mse
0.484375,0,0.0,1.8191397318470557
0.5234375,1,0.12467935127994163,1.7524045955543524
0.4765625,500,0.13713286615470438,1.8886230197489653
0.4921875,1000,0.16870852577117484,1.8082891356846
0.4609375,1500,0.18552576491381706,1.8435036956131947
0.546875,2000,0.18640762383697235,1.7869759995688532
0.5390625,2500,0.14482060675857703,1.727988590042809
0.5234375,3000,0.1281549018785453,1.7951875988634425
0.5234375,3500,0.07788018518935565,1.7663313721223162
0.5703125,4000,0.13564177681580883,1.6916966898103414
