timestamp,workers,threads,mode,batch,warmup_batches,hidden,output_replicas,batchsize,jobs,sweeps,relaxation,graph_states,graph_edges,run_seconds,run_cpu_threads,active_workers,min_worker_norm,mean_worker_norm,max_worker_norm
2026-05-21T17:45:06,32,32,greedy,1,0,7840,4,32,32,25.0,197000,8664,12920320,15.9338978,NaN,32,185.51656,223.00075,288.58685
2026-05-21T17:45:24,32,32,greedy,2,0,7840,4,32,32,25.0,197000,8664,12920320,16.4288166,NaN,32,183.31566,212.61365,249.10559
2026-05-21T17:45:41,32,32,greedy,3,0,7840,4,32,32,25.0,197000,8664,12920320,17.1135224,NaN,32,188.719,217.63104,277.86588
2026-05-21T17:45:58,32,32,greedy,4,0,7840,4,32,32,25.0,197000,8664,12920320,17.2432538,NaN,32,185.41405,217.84764,258.73108
2026-05-21T17:46:15,32,32,greedy,5,0,7840,4,32,32,25.0,197000,8664,12920320,16.5571337,NaN,32,192.59898,211.9653,276.4718
2026-05-21T17:46:31,32,32,greedy,6,0,7840,4,32,32,25.0,197000,8664,12920320,16.2281583,NaN,32,188.1781,212.48053,264.89966
2026-05-21T17:46:48,32,32,greedy,7,0,7840,4,32,32,25.0,197000,8664,12920320,16.4707747,NaN,32,186.6163,209.97354,254.37437
2026-05-21T17:47:04,32,32,greedy,8,0,7840,4,32,32,25.0,197000,8664,12920320,16.2680024,NaN,32,185.73642,212.4686,271.3587
2026-05-21T17:47:21,32,32,greedy,9,0,7840,4,32,32,25.0,197000,8664,12920320,16.3498633,NaN,32,192.2887,220.14067,255.95587
2026-05-21T17:47:37,32,32,greedy,10,0,7840,4,32,32,25.0,197000,8664,12920320,16.1086918,NaN,32,187.4357,214.37051,257.05676
