Running bespoke XOR search with 1 config(s)
config 1/1: (hidden = (16,), out = 4, output_code = :orthogonal, target_mode = :readout_hterm, readout_target = 1.0, lp = 0.0, dw = 0.0, bias = 0.1, skip = 0.0, weight_norm = 0.2, lr = 0.01, beta = 0.1, relaxation = 100, dynamics = :block, block_size = 8, adjusted = true, stepsize = 0.001, state = :continuous, weight_seed = 2, bias_seed = 11, minit = 5)
  epoch=1 mse=1.005632 acc=0.75 margin=0.033893 grad=0.916481 delta=4.470622 weight_rms=0.2
  epoch=100 mse=1.010095 acc=0.75 margin=0.02768 grad=0.809607 delta=4.601466 weight_rms=0.2
  epoch=200 mse=1.011017 acc=0.75 margin=0.026928 grad=0.909676 delta=4.659193 weight_rms=0.2
  epoch=300 mse=1.009493 acc=0.75 margin=0.027945 grad=0.815717 delta=4.76452 weight_rms=0.2
  epoch=400 mse=1.009441 acc=0.75 margin=0.029828 grad=0.904442 delta=4.821218 weight_rms=0.2
  epoch=500 mse=1.00922 acc=0.75 margin=0.034356 grad=0.733788 delta=4.88864 weight_rms=0.2
  epoch=600 mse=1.011135 acc=0.75 margin=0.028867 grad=0.708634 delta=5.041334 weight_rms=0.2
  epoch=700 mse=1.008954 acc=0.75 margin=0.026739 grad=0.866292 delta=5.074279 weight_rms=0.2
  epoch=800 mse=1.001677 acc=0.75 margin=0.032871 grad=0.747784 delta=5.097608 weight_rms=0.2
  epoch=900 mse=1.004447 acc=0.75 margin=0.034909 grad=0.779944 delta=5.145656 weight_rms=0.2
  epoch=1000 mse=1.005922 acc=0.75 margin=0.030219 grad=0.705399 delta=5.172765 weight_rms=0.2
  epoch=1100 mse=1.006219 acc=0.75 margin=0.02726 grad=0.645499 delta=5.21866 weight_rms=0.2
  epoch=1200 mse=1.006642 acc=0.75 margin=0.027385 grad=0.717905 delta=5.248147 weight_rms=0.2
  epoch=1300 mse=1.005261 acc=0.75 margin=0.026917 grad=0.655602 delta=5.316363 weight_rms=0.2
  epoch=1400 mse=1.012796 acc=0.75 margin=0.022252 grad=0.63868 delta=5.321526 weight_rms=0.2
  epoch=1500 mse=1.007742 acc=0.75 margin=0.022743 grad=0.630006 delta=5.380779 weight_rms=0.2
  epoch=1600 mse=1.004739 acc=0.75 margin=0.025421 grad=0.627888 delta=5.45065 weight_rms=0.2
  epoch=1700 mse=1.003967 acc=0.75 margin=0.027 grad=0.687206 delta=5.489435 weight_rms=0.2
  epoch=1800 mse=1.010214 acc=0.75 margin=0.019931 grad=0.653098 delta=5.481292 weight_rms=0.2
  epoch=1900 mse=1.008256 acc=0.75 margin=0.021025 grad=0.693699 delta=5.523182 weight_rms=0.2
  epoch=2000 mse=1.008693 acc=0.75 margin=0.019251 grad=0.598012 delta=5.526291 weight_rms=0.2
  epoch=2100 mse=1.00658 acc=0.75 margin=0.02294 grad=0.658691 delta=5.555571 weight_rms=0.2
