accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,std_1,std_2,std_3,std_4,temperature
0.75,0,0.0,0.04669347151693026,-0.3718976798063497,0.3391558857953413,0.04669347151693026,0.2454575505064064,0.8227963288183617,0.9463546114619888,0.9303171843222835,0.9890773355321574,0.9232692322537712,0.05218234146013856
0.75,1,0.40522597130559557,0.06559611134995741,-0.37465811654989933,0.30326400980935164,0.06559611134995741,0.2618172705309961,0.8354467406396191,0.9464310908818648,0.9134888646091823,0.9845402685607154,0.9671522752597771,0.05218234146013856
0.75,120,0.2525622353281349,0.1213866724125168,-0.34237264524916977,0.16563066010992739,0.1213866724125168,0.2308445078972906,0.8538963787751109,0.8371838750959985,0.9486660081770838,0.9312284981895541,0.8397730944094064,0.05218234146013856
0.75,240,0.2950695655017657,0.08144953090606008,-0.34577704028953377,0.08144953090606008,0.16266099020401797,0.13077157119437888,0.8128809022081349,0.7909626487873194,0.9190861803495514,0.9038363197799274,0.7818041159899913,0.05218234146013856
0.75,360,0.28563590083054075,0.04527910921962834,-0.29159582288222696,0.04527910921962834,0.16078622772979695,0.12571194386853082,0.8462088983966566,0.7692059796269431,0.8482136238863138,0.8968058314277738,0.7390274805591726,0.05218234146013856
0.75,480,0.2579543990876984,0.017429419822104462,-0.2830795430358881,0.017429419822104462,0.15650208941002494,0.08015543334209635,0.8394110929982157,0.7489229736490545,0.8324148594644409,0.8948455544452336,0.7333497651060015,0.05218234146013856
0.75,600,0.28500919690289017,0.030911001858540156,-0.2385240686991057,0.030911001858540156,0.1711795517337167,0.11835549663830469,0.8641603581487036,0.7213694951224046,0.7747218143261924,0.8839973359652603,0.6887002763122129,0.05218234146013856
0.75,720,0.27603377419152264,0.03406725315900887,-0.24315775714724477,0.03406725315900887,0.17613892612669985,0.11883456335646778,0.8590935252977241,0.7185298338316077,0.7556755333042875,0.8718686342399481,0.6925149584592188,0.05218234146013856
0.75,840,0.3007498997008525,0.035973920271917856,-0.25609088150407483,0.035973920271917856,0.15795054340566989,0.11422864752368868,0.8583249563226386,0.7205869219498688,0.7605438300077233,0.8596579532119224,0.6928535726853737,0.05218234146013856
0.75,960,0.2928115158118479,0.0031441580664216956,-0.23998294654572228,0.0031441580664216956,0.14799522440846408,0.11566006957336838,0.8854892549024156,0.716739333488713,0.7390023777008361,0.859160608741205,0.6730128861226705,0.05218234146013856
0.75,1080,0.2739723234736177,0.038670976697064846,-0.19328741677283137,0.038670976697064846,0.18356551230876778,0.11752229791885807,0.8725900105047791,0.7201091744601652,0.745060503583069,0.8393956671339249,0.6700947942808033,0.05218234146013856
0.75,1200,0.297564560131324,0.07164432181941986,-0.21847926433405668,0.07164432181941986,0.18466705357871524,0.11529046817484684,0.8453148918519111,0.7210348278651524,0.7316524379849315,0.8231855711294036,0.6908966668695408,0.05218234146013856
