fullsweeps,meanabs,frac_09,frac_099,frac_mid,dH_rms,residual_rms,energy,readout_abs
0,0.486605425504,0.11875,0.0125,0.51875,0.601083081855,0.506599705505,0.383282046145,0.386015925253
100,0.499154992009,0.16875,0.1,0.50625,0.604950337118,0.425706965223,-2.16445680918,0.448518696607
200,0.524099077474,0.225,0.1625,0.5,0.619615906002,0.402421531487,-2.86803168398,0.468652102815
300,0.528210069519,0.23125,0.1625,0.49375,0.623387518516,0.396071983756,-3.02642935749,0.467546512131
400,0.532922130748,0.24375,0.16875,0.475,0.627733253159,0.390130509191,-3.19821725868,0.466443977627
500,0.537778106816,0.2625,0.18125,0.46875,0.631980769113,0.386752349278,-3.32401233628,0.465261866385
600,0.539261707379,0.2625,0.1875,0.46875,0.632995025869,0.385470524179,-3.36658840358,0.464865421449
700,0.540633792185,0.2625,0.1875,0.46875,0.633740227746,0.383995721587,-3.4104590838,0.463857808072
800,0.541028592738,0.2625,0.1875,0.46875,0.634008667192,0.383300544101,-3.43215544043,0.463307791422
900,0.543046359375,0.275,0.1875,0.46875,0.63519980352,0.381976203653,-3.48341662833,0.462899549306
1000,0.544571785311,0.275,0.1875,0.46875,0.635871718473,0.381338618679,-3.51394966089,0.461823444769
1100,0.545788214928,0.28125,0.19375,0.46875,0.636543478267,0.380637929993,-3.5423325599,0.460902225585
1200,0.547618716361,0.28125,0.19375,0.46875,0.637447730667,0.379746139102,-3.58558829926,0.460878177894
1300,0.548187334367,0.28125,0.20625,0.46875,0.637843340764,0.379364063415,-3.60086804405,0.459977879206
1400,0.548819677911,0.2875,0.20625,0.46875,0.638433344291,0.37901999076,-3.62137630524,0.457977720118
1500,0.548923528035,0.2875,0.20625,0.46875,0.638664374648,0.378687153839,-3.63458310515,0.457280618429
1600,0.549464967245,0.2875,0.20625,0.46875,0.639159097302,0.378576148762,-3.6441412805,0.455800405665
1700,0.549567881311,0.2875,0.20625,0.46875,0.639252355463,0.37858127536,-3.64643983377,0.455374116407
1800,0.550096478054,0.2875,0.20625,0.46875,0.639563871138,0.378409306868,-3.65836867583,0.454503292444
1900,0.550055406387,0.2875,0.20625,0.46875,0.639625941075,0.378246884817,-3.6642685015,0.454403755859
2000,0.550106408057,0.2875,0.20625,0.46875,0.639667221576,0.378255600925,-3.66531697495,0.454181908892
2100,0.55039803482,0.2875,0.2125,0.46875,0.639907451458,0.378059435844,-3.67502018543,0.45360235453
2200,0.550325139827,0.2875,0.2125,0.46875,0.640030570411,0.377960704671,-3.68118136406,0.45340977549
2300,0.550344889136,0.2875,0.2125,0.46875,0.640135658512,0.377799646001,-3.68797319226,0.453162319587
2400,0.550508361986,0.2875,0.2125,0.46875,0.640259694745,0.377797502337,-3.69120070543,0.453076643731
2500,0.550559028764,0.2875,0.2125,0.4625,0.640390924111,0.377704533564,-3.69521990877,0.452916112589
2600,0.550947860702,0.2875,0.21875,0.4625,0.640740983937,0.377431150258,-3.70440907883,0.452746655444
2700,0.550922305344,0.2875,0.21875,0.4625,0.640756271075,0.377319662849,-3.70707609813,0.452746655444
2800,0.55127139688,0.2875,0.21875,0.4625,0.640967780843,0.376885268762,-3.71863294929,0.452253243284
2900,0.551468321205,0.2875,0.21875,0.4625,0.641205587485,0.376592779176,-3.72898460893,0.451386828873
3000,0.551858570831,0.2875,0.21875,0.4625,0.641578658178,0.376353409975,-3.73542254318,0.450524559849
3100,0.552019199019,0.2875,0.21875,0.4625,0.641735819086,0.376083033122,-3.74146533813,0.450440168462
3200,0.552254553434,0.2875,0.21875,0.4625,0.642081436722,0.375438244031,-3.75786860265,0.450144227504
3300,0.552273742149,0.2875,0.21875,0.4625,0.642261770653,0.374783616345,-3.77085810973,0.45007134465
3400,0.552450388706,0.2875,0.225,0.4625,0.642457269203,0.374470305859,-3.77793411332,0.449772518972
3500,0.552366758953,0.2875,0.225,0.4625,0.642473403913,0.374145367868,-3.78332005708,0.449772518972
3600,0.552285985494,0.2875,0.225,0.4625,0.642636271138,0.373443014269,-3.79572906828,0.449447535906
3700,0.552359115213,0.2875,0.225,0.4625,0.64270540404,0.373181459431,-3.79974755386,0.449278886307
3800,0.552510522051,0.2875,0.225,0.4625,0.642789157281,0.373076659981,-3.80300189501,0.44894292027
3900,0.552510522051,0.2875,0.225,0.4625,0.642789157281,0.373076659981,-3.80300189501,0.44894292027
4000,0.552716275552,0.2875,0.225,0.4625,0.642945896147,0.372890740169,-3.80729001705,0.448503711182
4100,0.553051215126,0.2875,0.225,0.4625,0.643319373004,0.372488944933,-3.81831483771,0.447511677943
4200,0.553195920827,0.2875,0.225,0.4625,0.643500165689,0.372265673508,-3.8237068425,0.447024084277
4300,0.553132736937,0.2875,0.225,0.4625,0.643523958303,0.372093810367,-3.82601197272,0.447024084277
4400,0.553085254875,0.2875,0.225,0.4625,0.643646160604,0.371820376045,-3.83111649108,0.446912658778
4500,0.553006693253,0.2875,0.225,0.4625,0.643688201671,0.371502049887,-3.83548381444,0.446912658778
4600,0.552770357273,0.2875,0.225,0.4625,0.64378477958,0.37086345863,-3.84533863856,0.446796120271
4700,0.552987124889,0.2875,0.225,0.4625,0.644072245374,0.370386299684,-3.85614047034,0.446168214628
4800,0.552802779703,0.2875,0.225,0.4625,0.644083649795,0.370184258341,-3.86013701611,0.446168214628
4900,0.552880773503,0.2875,0.225,0.45625,0.644132796898,0.370145634045,-3.86185491029,0.445896492817
5000,0.552950251064,0.2875,0.225,0.45625,0.644175549417,0.370088596902,-3.86341747867,0.445835159908
