accuracy,epoch,grad_norm,mse
0.453125,0,0.0,1.0405147293122832
0.546875,1,1.1251018422815464,1.0284457668454894
0.578125,300,0.26211865130404033,1.5620512654149963
0.609375,600,0.2279550825357435,1.4151564130787877
0.609375,900,0.35317647104606964,1.350955061394027
0.515625,1200,0.144811155510776,1.1356257122360758
0.5625,1500,0.7135719887617986,1.053443694383687
0.8125,1800,0.5875471757258662,0.7228185858877657
0.59375,2100,0.18024602801532996,1.0757068448863938
0.53125,2400,0.11789209186206813,1.11355557800759
0.53125,2700,0.4772288812590308,1.1189403437127008
0.53125,3000,0.18649565435256363,1.2975891520197569
