epoch,mse,accuracy,grad_norm,response_norm,param_delta,ff_out1,ff_out2,ff_std,ft_out1,ft_out2,ft_std,tf_out1,tf_out2,tf_std,tt_out1,tt_out2,tt_std
0,1.0097193089814507,0.5,0.0,0.0,0.0,0.01522206368051182,-0.06417907217448289,0.5440174118872696,-0.030918398847809156,-0.02909928299870145,0.5919550981969219,-0.10599344267876379,-0.14621991765829528,0.6001908611833626,-0.07331020550279523,-0.015632703881738194,0.6170181836511504
1,1.0224369949173393,0.25,0.39243920351396266,0.22884569436042992,0.006041494355693911,0.0018960552699668837,-0.060934257448938434,0.5418532241576239,-0.022583754776402974,-0.031576909587557815,0.5960807224082036,-0.09667889368967031,-0.15459838390492298,0.59627221747187,-0.08348255674661814,-0.020752498495346015,0.6203280813616681
100,1.0136535836987686,0.25,0.4018302337461394,0.23047465837105086,0.16921876753810614,0.028587856157372478,-0.0484778607227011,0.5461444067831034,-0.01531790557952065,-0.01761070000390775,0.5822993840329448,-0.0768081240753434,-0.1376327955473531,0.6045331006033491,-0.06788436060354248,-0.01603163357970848,0.6094936415591673
200,1.0154716700237825,0.25,0.3665818333646294,0.2265060281573236,0.28627031001845976,0.02263328056429017,-0.046569134530501946,0.5390220188956639,-0.01217430497579413,-0.015599204600676115,0.5748242691132516,-0.0755244782969641,-0.12794217043117398,0.6064160174666412,-0.06631969308943371,-0.005862346237298283,0.6032198482550657
300,1.0028898371384625,0.5,0.3314369141372031,0.22318263984415787,0.3703081865783628,0.0553490055259198,-0.04215442487982792,0.5504749836628113,-0.009371152520849704,0.00434935719734169,0.5758767698106493,-0.0682523027366465,-0.13051207203690562,0.6071849637463375,-0.04673447651233189,-0.0006227172373602877,0.6019780811575351
400,1.0115368249120271,0.5,0.41791381917094983,0.2281092926333689,0.4384696779285236,0.05714701091509412,-0.04125309589469887,0.5517946504841735,0.0033073473341900155,0.005133808622881186,0.5742505596236378,-0.05817937544016931,-0.12704966418631797,0.612799994564817,-0.05602877906556081,0.007610552532540933,0.5965727419973178
500,1.0139099661935989,0.25,0.3683341735929772,0.22667114616614603,0.479952434964151,0.06833488339288661,-0.03480883107364649,0.551315070073932,0.012871777573663114,0.00028412838677932106,0.5737464333634084,-0.04321539325996087,-0.12963446201522336,0.6010296251015289,-0.042414678296284536,0.004094429183604515,0.5970417113261767
600,1.0200232534465004,0.25,0.3414383806040233,0.22076693386932994,0.5248508916388064,0.07132728645628185,-0.020988894658145588,0.5449347401227657,0.01598153783670406,0.002607963941131936,0.577538364680397,-0.04592694049932588,-0.12258794361618564,0.6110938287700656,-0.04668862162580454,0.02287083780488239,0.5944191544277849
700,1.0121360451420949,0.25,0.3791097448318201,0.2222713356562501,0.5635496484723913,0.07080049115389667,-0.009058191434814943,0.5474099841137609,0.029101777206569243,0.028343296559308024,0.5737785363875948,-0.03802011314708209,-0.10940280782536231,0.615951392277946,-0.03280384534423388,0.012758645021280808,0.6001822928043008
800,1.0089655217975386,0.25,0.3220478484773662,0.22272264352259363,0.5847686536362245,0.08467049475836888,-0.02120828491008786,0.5472878196990831,0.030318381861449882,0.019309843309611364,0.5754012114386481,-0.04384735449287628,-0.1099373486906667,0.6075227781236704,-0.0258425918957894,0.026650804986068265,0.5913268726696748
900,1.0101672578578647,0.25,0.36121696857842617,0.21743710885471818,0.6130236095099962,0.08917180769896718,0.0017071868204872331,0.5549152922116252,0.02970243149201067,0.028219580678925958,0.5761722697367156,-0.029704691383306184,-0.09917292928887508,0.6137354395059198,-0.02022017677606934,0.026238361464961064,0.5965471721993438
1000,1.0111376699744246,0.25,0.40771172470165695,0.22087563657117235,0.6152656863465907,0.09047518662671589,-0.0024027667049103286,0.5455390854742991,0.0374547672210978,0.02332620432091709,0.5666135370577647,-0.028732155570469584,-0.0989184223075333,0.6030449540801992,-0.013941313510342222,0.028300405925700982,0.5989780768022257
1100,1.0091732504451025,0.5,0.3363753179500103,0.2199665270525789,0.6273136667130828,0.10532963079189446,0.0033317287575744033,0.5491084919622798,0.03270839125110497,0.03431156009678751,0.5700688431214925,-0.028435233439979408,-0.10030330910408201,0.6156717917803897,-0.02404620734567774,0.03148411977196987,0.5895294512389071
1200,1.0118780373888345,0.25,0.4511918837829269,0.22441325494851386,0.6430680603453242,0.10199359777278971,0.0046955214979534365,0.538964126368376,0.048500251631520185,0.03862345651067213,0.5700490535281676,-0.012766070075835315,-0.10010240928205066,0.6081934953349988,-0.0007133078588570547,0.03407678916085648,0.5997698457335204
