accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,response_norm,std_1,std_2,std_3,std_4
0.5,0,0.0,0.47920518857276256,-0.7550498036247764,-0.8614988376674356,0.47920518857276256,0.49349048374152105,1.506729895494372,0.0,0.6341290914886876,0.41556749411212757,0.8623203901193518,0.8795048501852222
0.5,1,0.16005071146257036,0.4903031119172884,-0.7443331933788415,-0.8464407711098677,0.4903031119172884,0.49852156818535626,1.495016711315641,0.5406237514788097,0.6603767067685562,0.4107375838604561,0.864906579569118,0.8763226427101282
0.5,100,0.1249102896360086,0.2579502376551434,-0.5977174735380519,-0.2579502376551434,0.5775028290079439,0.8856627597541167,1.3696244836332605,0.5017693163140745,0.791455798519142,0.974924086577147,0.7944803469189154,0.19243981536336094
0.75,200,0.05651423614304277,0.45451880201624195,-0.49543469690754566,0.45451880201624195,0.5963080972097355,0.9709671972109436,1.1499536818246407,0.3758046598491095,0.8850768268257432,0.8635922832619997,0.791985831776904,0.05137108828531176
0.75,300,0.055682382762734246,0.4866776582858918,-0.4949832270026816,0.4866776582858918,0.6012245546727812,0.9865015154634439,1.1559379735614905,0.32839175012176886,0.8853343201776267,0.880437880900118,0.7927685693768912,0.009757330818861461
0.75,400,0.0949391918102456,0.4920435006771112,-0.7330531841783354,0.4920435006771112,0.6189200934051822,0.989862000800966,1.1085132712809072,0.3421002843556142,0.6736599229161836,0.8837582295310823,0.797881498585328,0.0012472912431057536
0.75,500,0.04535909766988061,0.4950504411931075,-0.6187370708822746,0.4950504411931075,0.6190647532701272,0.9901140959251198,1.1265003137649272,0.31073639837285516,0.7980090290384093,0.8855565926942369,0.7983193650363096,0.0010778327855276374
0.75,600,0.0383138055376654,0.549817145618347,-0.742838696959382,0.549817145618347,0.6182540748036471,0.989703622866162,1.0933617491028778,0.26314365822262176,0.6750075919589172,0.7987787026878516,0.7981858692272402,0.0008399751496533566
0.75,700,0.029250362019606218,0.5168738460489821,-0.7403329674271703,0.5168738460489821,0.6584517553018747,0.9899966259151856,1.0943949057617188,0.2544872570059207,0.6752854432287371,0.850208199158862,0.7252134030252556,0.0008335991888152971
0.75,800,0.019661647184035982,0.5880892457700436,-0.7915347746754487,0.5880892457700436,0.6211493690119618,0.9901795691440745,1.079367684414609,0.23559126542559444,0.5345631825339564,0.7380431188785724,0.7929915319959825,0.0010534250142584624
0.75,900,0.013996656205650666,0.5960780668418099,-0.7812360927193647,0.5960780668418099,0.6184396490915282,0.9900008723573365,1.079175587145824,0.2366510263283891,0.5709111097775802,0.722830058212963,0.7981658375284735,0.0006808305745889975
0.75,1000,0.01416678165954293,0.5774313664350843,-0.75238636856291,0.5774313664350843,0.7336020232000721,0.9897866791353983,1.0675239177635385,0.2415297121194995,0.6484087539618905,0.7476907704644379,0.6739327935231202,0.0008024390048838048
0.75,1100,0.014573160525225873,0.602642160413727,-0.8019562077512298,0.602642160413727,0.673082964588894,0.989701159203085,1.0657250118262578,0.23832417894382552,0.5420005413435299,0.7057096127167342,0.7058381104527965,0.0008585357769039693
0.75,1200,0.018496281131869737,0.594766333018242,-0.7547561168927076,0.594766333018242,0.6979097091491909,0.9893089809803604,1.068241913173118,0.2153905853963377,0.642962990539624,0.710623023069526,0.6823612232716267,0.0010107321955921166
