[2026-05-29T10:30:47] High-sweep summary not present yet; still waiting.
[2026-05-29T10:31:47] High-sweep summary not present yet; still waiting.
[2026-05-29T10:32:47] High-sweep summary not present yet; still waiting.
[2026-05-29T10:33:47] High-sweep summary not present yet; still waiting.
[2026-05-29T10:34:47] High-sweep summary not present yet; still waiting.
[2026-05-29T10:35:47] High-sweep summary not present yet; still waiting.
[2026-05-29T10:36:47] High-sweep summary not present yet; still waiting.
[2026-05-29T10:37:47] High-sweep summary not present yet; still waiting.
[2026-05-29T10:38:47] High-sweep summary not present yet; still waiting.
[2026-05-29T10:39:47] High-sweep summary not present yet; still waiting.
[2026-05-29T10:40:47] High-sweep summary not present yet; still waiting.
[2026-05-29T10:41:47] High-sweep summary not present yet; still waiting.
[2026-05-29T10:42:47] High-sweep rows=1/5; still waiting.
[2026-05-29T10:43:47] High-sweep rows=1/5; still waiting.
[2026-05-29T10:44:47] High-sweep rows=1/5; still waiting.
[2026-05-29T10:45:47] High-sweep rows=1/5; still waiting.
[2026-05-29T10:46:47] High-sweep rows=1/5; still waiting.
[2026-05-29T10:47:47] High-sweep rows=1/5; still waiting.
[2026-05-29T10:48:47] High-sweep rows=1/5; still waiting.
[2026-05-29T10:49:47] High-sweep rows=1/5; still waiting.
[2026-05-29T10:50:47] High-sweep rows=1/5; still waiting.
[2026-05-29T10:51:47] High-sweep rows=1/5; still waiting.
[2026-05-29T10:52:47] High-sweep rows=1/5; still waiting.
[2026-05-29T10:53:47] High-sweep rows=1/5; still waiting.
[2026-05-29T10:54:47] High-sweep rows=1/5; still waiting.
[2026-05-29T10:55:47] High-sweep rows=1/5; still waiting.
[2026-05-29T10:56:47] High-sweep rows=1/5; still waiting.
[2026-05-29T10:57:47] High-sweep rows=1/5; still waiting.
[2026-05-29T10:58:47] High-sweep rows=1/5; still waiting.
[2026-05-29T10:59:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:00:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:01:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:02:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:03:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:04:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:05:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:06:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:07:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:08:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:09:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:10:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:11:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:12:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:13:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:14:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:15:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:16:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:17:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:18:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:19:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:20:47] High-sweep rows=1/5; still waiting.
[2026-05-29T11:21:48] High-sweep rows=1/5; still waiting.
[2026-05-29T11:22:48] High-sweep rows=1/5; still waiting.
[2026-05-29T11:23:48] High-sweep rows=1/5; still waiting.
[2026-05-29T11:24:48] High-sweep rows=1/5; still waiting.
[2026-05-29T11:25:48] High-sweep rows=1/5; still waiting.
[2026-05-29T11:26:48] High-sweep rows=1/5; still waiting.
[2026-05-29T11:27:48] High-sweep rows=1/5; still waiting.
[2026-05-29T11:28:48] High-sweep rows=1/5; still waiting.
[2026-05-29T11:29:48] High-sweep rows=1/5; still waiting.
[2026-05-29T11:30:48] High-sweep rows=1/5; still waiting.
[2026-05-29T11:31:48] High-sweep rows=1/5; still waiting.
[2026-05-29T11:32:48] High-sweep rows=1/5; still waiting.
[2026-05-29T11:33:48] High-sweep rows=1/5; still waiting.
[2026-05-29T11:34:48] High-sweep rows=2/5; still waiting.
[2026-05-29T11:35:48] High-sweep rows=2/5; still waiting.
[2026-05-29T11:36:48] High-sweep rows=2/5; still waiting.
[2026-05-29T11:37:48] High-sweep rows=2/5; still waiting.
[2026-05-29T11:38:48] High-sweep rows=2/5; still waiting.
[2026-05-29T11:39:48] High-sweep rows=2/5; still waiting.
[2026-05-29T11:40:48] High-sweep rows=2/5; still waiting.
[2026-05-29T11:41:48] High-sweep rows=2/5; still waiting.
[2026-05-29T11:42:48] High-sweep rows=2/5; still waiting.
[2026-05-29T11:43:48] High-sweep rows=2/5; still waiting.
[2026-05-29T11:44:48] High-sweep rows=3/5; still waiting.
[2026-05-29T11:45:48] High-sweep rows=3/5; still waiting.
[2026-05-29T11:46:48] High-sweep rows=3/5; still waiting.
[2026-05-29T11:47:48] High-sweep rows=3/5; still waiting.
[2026-05-29T11:48:48] High-sweep rows=3/5; still waiting.
[2026-05-29T11:49:48] High-sweep rows=3/5; still waiting.
[2026-05-29T11:50:48] High-sweep rows=3/5; still waiting.
[2026-05-29T11:51:48] High-sweep rows=3/5; still waiting.
[2026-05-29T11:52:48] High-sweep rows=3/5; still waiting.
[2026-05-29T11:53:48] High-sweep rows=4/5; still waiting.
[2026-05-29T11:54:48] High-sweep rows=4/5; still waiting.
[2026-05-29T11:55:48] High-sweep rows=4/5; still waiting.
[2026-05-29T11:56:48] High-sweep rows=4/5; still waiting.
[2026-05-29T11:57:48] High-sweep rows=4/5; still waiting.
[2026-05-29T11:58:48] High-sweep rows=4/5; still waiting.
[2026-05-29T11:59:48] High-sweep rows=4/5; still waiting.
[2026-05-29T12:00:48] High-sweep rows=4/5; still waiting.
[2026-05-29T12:01:48] High-sweep rows=4/5; still waiting.
[2026-05-29T12:02:48] High-sweep rows=4/5; still waiting.
[2026-05-29T12:03:48] High-sweep rows=4/5; still waiting.
[2026-05-29T12:04:48] High-sweep rows=4/5; still waiting.
[2026-05-29T12:05:48] High-sweep rows=4/5; still waiting.
[2026-05-29T12:06:48] High-sweep grid has 5 rows; starting baseline revisit.
[2026-05-29T12:06:48] Started baseline revisit. stdout=C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\784-120-40-baseline\experiments\current\20260529_mnist_784_120_40_baseline_revisit_gt90_e40_32w\logs\launcher_stdout.log stderr=C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\784-120-40-baseline\experiments\current\20260529_mnist_784_120_40_baseline_revisit_gt90_e40_32w\logs\launcher_stderr.log
