accuracy,epoch,grad_norm,mse
0.5,0,0.0,1.9906021759114918
0.5,1,0.18876597096230835,1.9901026319086481
0.5,300,0.04038440670226847,1.9904689713333
0.625,600,0.033790280952583414,1.6867112351514189
0.5,900,0.03458023829127829,1.801679192394715
0.5,1200,0.03399343502362638,1.7363644514208103
0.4921875,1500,0.06899828661927475,1.97910590183909
0.5390625,1800,0.03438823818581938,1.9908108371163518
0.4921875,2100,0.09513610149926306,1.9904637634581865
0.5078125,2400,0.03759706927715838,1.9895025882508617
0.5234375,2700,0.04382817424132508,1.984746431353957
0.5078125,3000,0.03269198086775057,1.9905164855491269
