epoch,mse,accuracy,margin
1,1.978966,0.5,0.014027
500,0.987808,0.25,0.002577
1000,0.735224,0.75,0.001091
1500,0.710019,1,0.007541
2000,1.007329,0.5,0.002377
2500,0.993859,0.5,0.004349
3000,0.740067,0.75,0.005383
3500,0.724324,0.75,0.006063
4000,0.728711,0.75,0.002634
4500,0.74576,0.5,0.001079
5000,0.749223,0.75,0.005319
5500,0.755004,0.5,0.018304
6000,0.483306,0.75,0.000123
6500,0.474279,1,0.005704
7000,0.737049,0.75,0.005391
7500,0.753467,0.75,0.00388
8000,0.482089,1,0.002644
8500,0.729747,1,0.002217
9000,0.464731,1,0.005908
9500,0.468644,1,0.006247
10000,0.752405,0.75,0.008287
10500,0.716128,0.75,0.007856
11000,0.713655,0.75,0.007854
11500,0.726349,0.75,0.019538
12000,0.734601,0.75,0.006453
12500,0.722408,0.75,0.023723
13000,0.730461,0.75,0.012893
13500,0.735194,0.75,0.013029
14000,0.731477,0.75,0.020711
14500,0.731482,0.75,0.016831
15000,0.725834,0.75,0.019249
15500,0.721001,0.75,0.012216
16000,0.721774,0.75,0.017968
16500,0.726131,0.75,0.017322
17000,0.717018,0.75,0.004147
17500,0.724659,0.75,0.012107
18000,0.716196,0.75,0.005312
18500,0.717211,0.75,0.024965
19000,0.72424,0.75,0.021682
19500,0.718014,0.75,0.016961
20000,0.705997,0.75,0.001976
