timestamp,hidden,contexts,threads,order,schedule,sweeps,nsteps,graph_states,graph_edges,single_seconds,parallel_seconds,min_task_seconds,mean_task_seconds,max_task_seconds,speedup_vs_serial_all
2026-05-21T18:28:36,784,8,32,cyclic,static,100000.0,82400000,1608,1292032,0.7121646,0.7879455,0.7597964,0.7675472375,0.7729041,7.230597547673032
2026-05-21T18:28:40,784,16,32,cyclic,static,100000.0,82400000,1608,1292032,0.7178843,0.9246737,0.864892,0.8928028000000001,0.9244926,12.421840050171213
2026-05-21T18:28:43,784,24,32,cyclic,static,100000.0,82400000,1608,1292032,0.719282,1.3879473,0.9541311,1.252069175,1.3878459,12.43762497322485
2026-05-21T18:28:47,784,32,32,cyclic,static,100000.0,82400000,1608,1292032,0.7183132,1.7224049,1.6006465,1.62457735625,1.7220976,13.345307134228428
