workers,jobs,sweeps,elapsed_s,jobs_per_s,worker_internal_s_per_job,checksum
1,8,100,0.12207604999999999,65.53291984791448,0.01518145625,-6.0
8,64,100,0.22211775,288.1354596829835,0.02485365625,-13.0
16,128,100,0.246357,519.5711914010968,0.026044985546875,7.5
32,256,100,0.2538529,1008.458047948241,0.029852111132812498,-10.0
