phase,seconds,compile_time,recompile_time,gctime,bytes
include simple experiment,9.136612208,1.414340745,0.433038746,0.344725916,685650744
simple graph construction,1.667699125,1.662485459,0.026440501,0.0956065,365837584
simple layer construction,0.04526375,0.044172331,0.0,0.0,1891184
simple init_simple_trainer,107.739367042,107.516103869,0.501508873,0.90614204,12005208688
simple simple_dataset,8.0e-6,0.0,0.0,0.0,256
simple gradient_buffer,9.0e-6,0.0,0.0,0.0,800
simple eval: evaluate_simple!,9.315701667,9.306633377,0.0,0.180835876,633947216
simple train1: zero buffers,6.875e-6,0.0,0.0,0.0,0
simple train1: worker loop,256.176425166,322.236172084,0.0,1.80244667,8737778256
simple train1: optimizer/broadcast,0.262910417,0.262528541,0.0,0.0,122769184
simple warm graph construction,0.025958875,0.024904875,0.0,0.0,748352
simple warm layer construction,0.024041625,0.023215376,0.0,0.0,750208
simple warm init_simple_trainer,105.566349125,105.304843046,0.0,0.830575714,10863347696
simple warm gradient_buffer,9.084e-6,0.0,0.0,0.0,800
simple eval: evaluate_simple!,7.663437167,7.654458415,0.0,0.072815458,384816032
simple train101: zero buffers,5.42e-7,0.0,0.0,0.0,0
simple train101: worker loop,257.948808875,312.814275466,0.0,1.626908677,8421158288
simple train101: optimizer/broadcast,0.009427958,0.009263416,0.0,0.0,182160
