accuracy,epoch,grad_norm,margin,mean_1,mean_2,mean_3,mean_4,mse,std_1,std_2,std_3,std_4
0.5,0,0.0,0.5773747314108871,-0.9064042767257252,-0.988375999614448,0.85700688703328,0.5773747314108871,1.617739337226868,0.40505190938520946,0.00799333927952571,0.46063400370868535,0.8234752586558745
0.5,1,1.8039182277314103,0.5762544401333065,-0.9060051583832623,-0.9903810950126578,0.826227349499546,0.5762544401333065,1.621306731934065,0.40130368947026784,0.005653497965650409,0.5531372729204267,0.8210173642092504
0.75,300,0.09594010667768012,0.40933142134021533,-0.8063166314651437,0.40933142134021533,0.8271650325662151,0.9893323016882959,1.0934293873928174,0.5591049089901541,0.9182157916116077,0.559010234470641,0.009226129632538918
0.75,600,0.10195344608889687,0.001343205432049845,-0.9919851472559628,0.001343205432049845,0.6579238835358894,0.9858941012960155,1.26454277055468,0.0054850078071036696,1.0112638794838635,0.7531873561143169,0.009620096765287616
0.75,900,0.10735763541207717,0.08404972542522914,-0.9904499054364937,0.08404972542522914,0.6624467883051784,0.9879384318377037,1.2262243723256518,0.009183672277222808,1.0089235291798875,0.755641777284473,0.008695313166816095
0.5,1200,0.10389483744886638,0.0010220780206886503,-0.9910306637549056,-0.0010220780206886503,0.6621238523550075,0.9853370663403228,1.264462301952439,0.006393597647091543,1.0112548894698636,0.7543125703795698,0.009995471253809092
0.75,1500,0.06494428011800438,0.0015017477339456058,-0.9899627400964907,0.0015017477339456058,0.6592625382578406,0.9894337041447523,1.2677619968465839,0.008713262782072186,1.01113671994699,0.7527350011296536,0.00627082047823897
0.5,1800,0.11222951133903426,0.08225865691835242,-0.990982888950866,-0.08225865691835242,0.5750929317694583,0.9902954312045998,1.3282967572181414,0.006499369057730091,1.0076443600122658,0.8206101524272129,0.006468116913715243
0.5,2100,0.09614384342442385,0.001277019001060628,-0.9872931598482464,-0.001277019001060628,0.6600828170159933,0.9889263016829059,1.2685221643450293,0.00936108398652032,1.0122626950802245,0.7568415073105591,0.007377522844788221
0.5,2400,0.09625379446590959,0.08171663278835715,-0.9883159199360545,-0.08171663278835715,0.6597836304383947,0.9925891335953606,1.3141015062044779,0.008443249853193445,1.0096366404354518,0.7541010140897885,0.007083537384075976
0.75,2700,0.08168002210889597,4.142558239865017e-6,-0.9885246919600399,4.142558239865017e-6,0.6619475365535177,0.9917238294597809,1.2703416696188656,0.007116145580583108,1.0118597447651583,0.7538556337972324,0.005533822922020981
0.5,3000,0.08561655504086617,0.08377622795222588,-0.9892187619963675,-0.08377622795222588,0.6594012116779572,0.9919683744900568,1.314658171735562,0.005885016646299157,1.010827718124519,0.7540598247332958,0.006402322809394421
