phase,seconds,compile_time,recompile_time,gctime,bytes
include manager experiment,9.722932292,1.579720209,0.427367333,0.368571667,707453448
manager init_timeavg_trainer,34.528170333,71.181948866,0.562048251,0.436756085,4249824960
manager simple_dataset,1.075e-5,0.0,0.0,0.0,256
manager gradient_buffer,6.958e-6,0.0,0.0,0.0,800
manager eval: build jobs,1.3083e-5,0.0,0.0,0.0,816
manager eval: sync/reinit workers,0.029508,0.029405958,0.0,0.0,2278528
manager eval: allocate output buckets,6.666e-6,0.0,0.0,0.0,224
manager eval: ProcessManager.run!,1.78377875,1.782316875,0.0,0.011391,119859872
manager eval: reduce metrics,0.019913541,0.019750418,0.0,0.0,2685760
manager train1: zero buffers,0.134754583,0.134634667,0.0,0.0,3341600
manager train1: build jobs,1.7541e-5,0.0,0.0,0.0,1152
manager train1: ProcessManager.run!,1.9223345,1.920260122,0.0,0.017578792,155372896
manager train1: optimizer update,0.301674792,0.301237041,0.0,0.010862,122684944
manager train1: sync/reinit workers,0.009965375,0.009915542,0.0,0.0,615456
manager warm init_timeavg_trainer,19.416004375,39.120000584,0.0,0.129030791,1663337728
manager warm gradient_buffer,1.0917e-5,0.0,0.0,0.0,800
manager eval: build jobs,2.125e-6,0.0,0.0,0.0,816
manager eval: sync/reinit workers,8.416e-6,0.0,0.0,0.0,32
manager eval: allocate output buckets,7.91e-7,0.0,0.0,0.0,224
manager eval: ProcessManager.run!,0.000443666,0.0,0.0,0.0,66608
manager eval: reduce metrics,1.9209e-5,0.0,0.0,0.0,960
manager train101: zero buffers,0.083649459,0.083578374,0.0,0.0,564608
manager train101: build jobs,2.25e-6,0.0,0.0,0.0,1152
manager train101: ProcessManager.run!,1.655292792,1.653632251,0.0,0.0102565,82885056
manager train101: optimizer update,6.0292e-5,0.0,0.0,0.0,5616
manager train101: sync/reinit workers,0.011538708,0.011481542,0.0,0.0,615232
