epoch,mse,accuracy,grad_norm,response_norm,param_delta,ff_out1,ff_out2,ff_std,ft_out1,ft_out2,ft_std,tf_out1,tf_out2,tf_std,tt_out1,tt_out2,tt_std
0,0.9963946997351507,0.75,0.0,0.0,0.0,-0.031163837530881377,-0.02605192265483727,0.024715930741387136,-0.03220652604233735,-0.019602284379486527,0.02383073551458223,-0.02974023150659369,-0.02376941782071731,0.026474584262238938,-0.02646855469997225,-0.03050254196885814,0.027273302520031333
1,1.0046842401529843,0.0,0.27003658771367633,0.038944275694287336,0.01208288466892599,-0.030124194776970127,-0.02846311187465086,0.023381103511216944,-0.02309614126924724,-0.026287340051038256,0.021737161450790746,-0.026977833282728382,-0.03276187266458127,0.026504895267174488,-0.031240838085930443,-0.026346880388288398,0.02381079529629791
100,0.9999254109343545,0.5,0.25163622315222417,0.034269024818490895,0.2287477819245047,-0.024086091452736748,-0.013937101371196147,0.0261473383396527,-0.03050033864964855,-0.011998645082471386,0.025055170139828425,-0.02483186275674241,-0.012655392938688226,0.025382297459982456,-0.029654594235001445,-0.011239336574866213,0.02510046522545788
200,0.9977016660267212,0.5,0.2521105169065459,0.030995503998467844,0.33237696689734625,-0.016764016867523327,-0.012632219268724832,0.022936993175065867,-0.023632315956427286,-0.014401645070867213,0.024015817492733668,-0.023977059185639728,-0.0057953507753617725,0.02510024366243957,-0.022463069155518905,-0.00958151299578215,0.024312626517542894
300,1.0025839856936107,0.5,0.33076151069057164,0.02890763617981989,0.4146019545109133,-0.019887189644325547,-0.007366511698537008,0.021950298314762307,-0.018335384461498103,-0.009812657680368826,0.02447890169553164,-0.017103344714656875,-0.011033105772779115,0.02328725735020701,-0.015710544920945344,-0.00408230468796254,0.025188294430226913
400,0.998208483079172,0.5,0.20725158829872073,0.02620902426228209,0.5018909679398721,-0.01048540752675962,-0.009020834338872038,0.022530041228481873,-0.013373780103614985,-0.005556840818525259,0.02237006450030653,-0.011715555691769736,-0.00272177361954333,0.0224335997321673,-0.017779381811311595,-0.010081027084589718,0.022608845076037696
500,0.9998490098420904,0.5,0.27718774818757547,0.02559498971365604,0.5481662780133484,-0.014701336374732239,-0.007335721112265933,0.024079627676038256,-0.013670532950298516,-0.010385876264980227,0.02914820794919259,-0.012670379472582647,-0.012755622592493068,0.02325309755264036,-0.008010905531560138,-0.013346183681442437,0.025053895863019073
600,0.9982589102038768,0.75,0.25307067656303966,0.02461090708279002,0.5970459018655768,-0.00802584302656558,-0.010024809302074318,0.022723843669291678,-0.008411637527645685,-0.0163817183488017,0.023122194990645686,-0.014992082069205763,-0.004178545023886547,0.023590269526353427,-0.01176323846600106,-0.014431622942337139,0.024159892733740564
700,1.0000928080709008,0.5,0.2762070301702747,0.02388240604874402,0.6156957649843755,-0.009854878773188904,-0.010297370562872202,0.02356004426679641,-0.0073499140847867375,-0.011282927596196698,0.02286418591633748,-0.012214360227506769,-0.013242327602436202,0.024014203552160305,-0.008708371717551623,-0.013336999175309304,0.024403176740392805
800,0.997053648867745,0.5,0.2677841928168933,0.02406503784979102,0.6366452886864431,-0.006478738761810874,-0.0024743679590247974,0.020855990694030362,-0.005006703199270398,-0.0012369988153946524,0.0226292262959999,-0.0139777989329941,-0.0005327469697409422,0.025456528219051467,-0.0037156985743058346,-0.0024357654827141485,0.023470168622061725
900,1.0022567285004254,0.25,0.2313238828019409,0.022694100928319062,0.6481878247292487,-0.004107296573726706,0.0009400603631647211,0.021224778288561914,-0.0020654820545396263,-0.00224270420485454,0.023770641664090323,-0.00969022725235601,-0.002025800455298222,0.021148086784490646,-0.006564037120513186,0.0048071002387340064,0.02370534430473758
1000,1.0007443848482844,0.5,0.2090830297294428,0.02297916915832852,0.6610161207884738,-0.004282568579499138,-0.0008086041494032669,0.02528930523121051,-0.004803732832769845,0.001819206769046243,0.024944872099013003,-0.0050569416675296415,-0.004681114006790504,0.023068423412460924,-0.0055038593693137895,0.0009364655963588358,0.022045761537432023
1100,1.0006201898909164,0.5,0.22748696969762516,0.023097824221199298,0.6858910709795493,-0.0024026380741375914,0.0017502805533705622,0.022670981526833427,-0.0018010344233630948,0.0003595511266495146,0.024866363523573895,-0.0028062230153554682,-0.002111349850694037,0.023489288156008797,-0.0008822812745754827,0.0002883166831070715,0.02118399841321596
1200,0.9988357165678634,0.5,0.21316265000373819,0.023767160507954684,0.701709415452279,-0.00919340401224536,-0.005657468312541023,0.022670017480670376,-0.009155477890869923,0.0010344640338946398,0.02315352013650656,-0.006534189698015991,-0.0029126329114168943,0.02418831250787556,-0.01166701512138835,-0.006262554041645832,0.02247051314785643
1300,1.002026429911823,0.25,0.24885625727015523,0.023331031206028873,0.7075789420148433,-0.0072722382177069665,-0.008680744182899798,0.025616432039428892,-0.005562922087364754,-0.006482797041954275,0.02198102040646215,0.0007861390069112619,-0.005553617174596624,0.023731290606196963,-0.006428614659850473,-0.004320353557196669,0.022287622245396873
1400,0.9976428196239062,0.75,0.2453708025074192,0.023350167079940663,0.6891250552333741,0.00048017726000070384,-0.0046138920561252785,0.025350273751217282,-0.00513095041987891,-0.003455023682966194,0.021397106987306798,-0.006417513455574775,-0.0008200571751145812,0.023731179115539708,-0.005198978329289087,-0.002327290019261908,0.023856984458670783
1500,0.997906214275365,0.75,0.26246108286291137,0.023524011501631525,0.7084292057388188,-0.008620980854933145,-0.006521231903797537,0.023621809391260056,-0.006449110263206715,-0.0032968539906452466,0.02281412759806628,-0.0034605764210792356,-0.0006396057425217043,0.024156249870194334,-0.0008273822021217034,-0.005435005388388531,0.024393907363786237
1600,1.0014329187062572,0.5,0.21071121565387743,0.024056032370727332,0.6960975228018815,-0.0077094129767202625,-0.0025948097482682564,0.02330571139941088,-0.00777092413206123,-0.004373156736205514,0.02051632038035528,-0.007775255560230893,-0.0009414571284898049,0.022383653914873958,-0.008961007444911179,0.0017424516889376442,0.0235909222229041
1700,0.9957291083729625,0.75,0.2119689287573328,0.023323804964667592,0.7067683544073311,0.003198646490810527,-0.002528275231872617,0.02321333494691739,-0.005738678794846237,-0.005831546839078041,0.022651449711152537,-0.00966083321514206,-0.007118511500173675,0.025472802669014846,-0.002940689732467283,-0.01203845071923725,0.024274422888244423
1800,1.001770096160345,0.5,0.22503244759902402,0.024356396404111535,0.7174057246126485,0.0015732582795058199,-0.003679828670593975,0.021899972461293618,0.005498366415703046,-0.009868812410843598,0.021916436819991746,-0.0007975188333237947,-0.00940189958448944,0.02460145241442197,0.0033870807041601536,-0.008408431058546694,0.02073771260228713
1900,0.9981836620720955,0.5,0.27072681103048213,0.024232455555679603,0.7429345341971791,0.004786342222044238,-0.006476146960952765,0.022143446603464637,0.005536973536810832,-0.00912646616520393,0.02368851266676722,0.00032990950961408203,-0.003782402148867466,0.02223172078901681,0.007966343950112045,-0.006964863628774074,0.023341799070078627
2000,0.9979713046930317,0.5,0.2172654176337462,0.024050505389881825,0.7417185912055166,0.0074299541194415225,-0.002483250788376576,0.02183590611301833,-0.002099949122803545,-0.0056029019026254175,0.02569685097705447,0.003603373378526788,-0.005343586344366252,0.024273182305928297,0.004618961468966768,-0.006131347096673287,0.022116605332484034
