timestamp,config_id,hidden,epoch,seconds,relaxation,sweeps,minit,digits,target_scale,target_off,target_on,beta,lr,train_accuracy,train_mse,validation_accuracy,validation_mse
2026-05-19T04:53:51,1,512,0,0.0,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.48828125,3.6624,0.484375,3.709014
2026-05-19T04:54:03,1,512,1,10.2536703,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.521484375,3.6192324,0.490234375,3.6156719
2026-05-19T04:54:06,1,512,2,2.7601114,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.505859375,3.6488028,0.48828125,3.652784
2026-05-19T04:54:10,1,512,3,2.7367761,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.48046875,3.6711802,0.55859375,3.6989453
2026-05-19T04:54:14,1,512,4,2.7039405,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.498046875,3.5341816,0.4921875,3.5083776
2026-05-19T04:54:17,1,512,5,2.7701818,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.486328125,3.2865365,0.505859375,3.3675497
2026-05-19T04:54:21,1,512,6,2.7551584,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.505859375,3.2613811,0.5390625,3.256033
2026-05-19T04:54:24,1,512,7,2.7526318,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.5390625,3.3353653,0.564453125,3.2105758
2026-05-19T04:54:28,1,512,8,2.8108038,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.505859375,3.7213674,0.580078125,3.5836055
2026-05-19T04:54:32,1,512,9,2.768536,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.546875,3.5705307,0.55078125,3.4483864
2026-05-19T04:54:35,1,512,10,2.826744,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.505859375,3.4052312,0.544921875,3.324817
2026-05-19T04:54:39,1,512,11,2.7733117,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.544921875,3.3037963,0.5546875,3.37293
2026-05-19T04:54:43,1,512,12,2.8046462,1044,2.0,2,0-1,0.2,-0.2,0.2,0.1,0.02,0.55078125,3.2835958,0.55859375,3.239861
