accuracy,epoch,grad_norm,mse
0.5,0,0.0,1.853841145390501
0.5,1,1.0349074093363877,1.781964698541345
0.6640625,300,0.09935330984366185,0.9726203970363198
0.5390625,600,0.08566049697016832,1.0959416584621289
0.53125,900,0.07968216163720523,0.9977346718224797
0.5390625,1200,0.07600618774603697,1.0182784348255232
0.59375,1500,0.0892259347435547,1.1169674922462887
0.5234375,1800,0.00819820759682219,1.0194006502917816
0.4375,2100,0.03102540994452481,1.024172449332564
0.5546875,2400,0.018823864910514996,0.994862943889085
0.515625,2700,0.011174224366961708,1.0082135084181896
0.5390625,3000,0.022864034537444792,1.0025902697566453
